"Product Code","Product Name",Variant,Expected,Counted
03443599,"Viaterra Hammerhead Tailbag 45L",,1.0000,
08958708,"ViaTerra Claw Mini (48L) Waterproof Tailbag",,1.0000,
11256207,"ViaTerra Marine Neo Hydration Bag",,2.0000,
15620282,"ViaTerra Toolpack Pro",,0.0000,
20797473,"ViaTerra Oxus Magnetic Tankbag",,0.0000,
26715954,"ViaTerra Fly Magnetic Tankbag",,1.0000,
28656274,"ViaTerra Oxus Universal Non Magnetic Tankbag",,1.0000,
60638033,"ViaTerra Claw(72L) Waterproof Tailbag",,0.0000,
61027159,"ViaTerra Leh Waterproof Saddlebags",,2.0000,
62035791,"ViaTerra POD 12 Waterproof Tailbag",,1.0000,
67171525,"ViaTerra Seaty Motorcycle Tailbag",,1.0000,
69442129,"Viaterra Trailpack RE Himalayan",,1.0000,
70769964,"ViaTerra Condor 2-UP Waterproof Saddlebags",,4.0000,
85434184,"ViaTerra Condor Solo Waterproof Saddlebags",,2.0000,
85542641,"ViaTerra POD 22 Waterproof Tailbag",,0.0000,
85927095,"ViaTerra Fly Universal Non Magnetic Tankbag",,2.0000,
