"Product Code","Product Name",Variant,Expected,Counted
00660461,"Axor Street Wolf Dull Black Neon Yellow Full Face Helmet",S,0.0000,
00660461,"Axor Street Wolf Dull Black Neon Yellow Full Face Helmet",M,0.0000,
00660461,"Axor Street Wolf Dull Black Neon Yellow Full Face Helmet",L,0.0000,
00660461,"Axor Street Wolf Dull Black Neon Yellow Full Face Helmet",XL,0.0000,
03951689,"Axor Rage Ecco Glossy Orange Full Face Helmet",S,0.0000,
03951689,"Axor Rage Ecco Glossy Orange Full Face Helmet",M,0.0000,
03951689,"Axor Rage Ecco Glossy Orange Full Face Helmet",L,1.0000,
03951689,"Axor Rage Ecco Glossy Orange Full Face Helmet",XL,0.0000,
06680733,"Axor Apex Liberty Glossy Black Orange Full Face Helmet",,0.0000,
11912161,"Axor Apex Venomous Matt Black Neon Green Full Face Helmet",S,0.0000,
11912161,"Axor Apex Venomous Matt Black Neon Green Full Face Helmet",M,2.0000,
11912161,"Axor Apex Venomous Matt Black Neon Green Full Face Helmet",L,2.0000,
11912161,"Axor Apex Venomous Matt Black Neon Green Full Face Helmet",XL,0.0000,
16517102,"Axor Rage Ecco Matt Grey Full Face Helmet",S,0.0000,
16517102,"Axor Rage Ecco Matt Grey Full Face Helmet",M,0.0000,
16517102,"Axor Rage Ecco Matt Grey Full Face Helmet",L,0.0000,
16517102,"Axor Rage Ecco Matt Grey Full Face Helmet",XL,0.0000,
19664920,"Axor Street Wacky Dull Black Red Full Face Helmet",S,0.0000,
19664920,"Axor Street Wacky Dull Black Red Full Face Helmet",M,0.0000,
19664920,"Axor Street Wacky Dull Black Red Full Face Helmet",L,0.0000,
19664920,"Axor Street Wacky Dull Black Red Full Face Helmet",XL,0.0000,
21095532,"Axor Apex Venomous Gloss Black Blue Full Face Helmet",S,0.0000,
21095532,"Axor Apex Venomous Gloss Black Blue Full Face Helmet",M,0.0000,
21095532,"Axor Apex Venomous Gloss Black Blue Full Face Helmet",L,1.0000,
21095532,"Axor Apex Venomous Gloss Black Blue Full Face Helmet",XL,0.0000,
25251076,"Axor Apex Crypto Dull/Matt Grey Full Face Helmet",,0.0000,
27073527,"Helmet Part Axor Clear Visor with Antifog",,1.0000,
31498808,"Axor Rage War Dull/Matt Black Silver Full Face Helmet",S,-1.0000,
31498808,"Axor Rage War Dull/Matt Black Silver Full Face Helmet",M,1.0000,
31498808,"Axor Rage War Dull/Matt Black Silver Full Face Helmet",L,0.0000,
31498808,"Axor Rage War Dull/Matt Black Silver Full Face Helmet",XL,0.0000,
38756001,"Axor Apex Shark Glossy Grey Full Face Helmet",L,1.0000,
38790504,"Axor Apex Crypto Dull Black Orange Full Face Helmet",,0.0000,
41344042,"Axor Apex Turbine Matt Black Orange Full Face Helmet",S,0.0000,
41344042,"Axor Apex Turbine Matt Black Orange Full Face Helmet",M,0.0000,
41344042,"Axor Apex Turbine Matt Black Orange Full Face Helmet",L,0.0000,
41344042,"Axor Apex Turbine Matt Black Orange Full Face Helmet",XL,0.0000,
498002570,"Axor Stealth Black Orange Matt Full Face Helmet",,0.0000,
50786028,"Axor Apex Turbine Gloss Black Blue Full Face Helmet",S,0.0000,
50786028,"Axor Apex Turbine Gloss Black Blue Full Face Helmet",M,0.0000,
50786028,"Axor Apex Turbine Gloss Black Blue Full Face Helmet",L,0.0000,
50786028,"Axor Apex Turbine Gloss Black Blue Full Face Helmet",XL,0.0000,
52912236,"Axor Apex Turbine Matt Black Neon/Yellow Grey Full Face Helmet",S,0.0000,
52912236,"Axor Apex Turbine Matt Black Neon/Yellow Grey Full Face Helmet",M,0.0000,
52912236,"Axor Apex Turbine Matt Black Neon/Yellow Grey Full Face Helmet",L,0.0000,
52912236,"Axor Apex Turbine Matt Black Neon/Yellow Grey Full Face Helmet",XL,0.0000,
53526491,"Axor Rage RR3 Glossy Neon Yellow Full Face Helmet",S,0.0000,
53526491,"Axor Rage RR3 Glossy Neon Yellow Full Face Helmet",M,0.0000,
53526491,"Axor Rage RR3 Glossy Neon Yellow Full Face Helmet",L,0.0000,
53526491,"Axor Rage RR3 Glossy Neon Yellow Full Face Helmet",XL,0.0000,
53892667,"Axor Jarvis Green Black Full Face Helmet",,1.0000,
54381516,"Axor Apex Venomous Matt Black Grey Full Face Helmet",S,0.0000,
54381516,"Axor Apex Venomous Matt Black Grey Full Face Helmet",M,1.0000,
54381516,"Axor Apex Venomous Matt Black Grey Full Face Helmet",L,0.0000,
54381516,"Axor Apex Venomous Matt Black Grey Full Face Helmet",XL,1.0000,
54625208,"Axor Apex Venomous Matt Black Blue Full Face Helmet",S,0.0000,
54625208,"Axor Apex Venomous Matt Black Blue Full Face Helmet",M,2.0000,
54625208,"Axor Apex Venomous Matt Black Blue Full Face Helmet",L,0.0000,
54625208,"Axor Apex Venomous Matt Black Blue Full Face Helmet",XL,0.0000,
60907924,"Axor Apex Grid Glossy Black Orange Full Face Helmet",,1.0000,
61841009,"Axor Rage Rash Dull/Matt White Lagoon Full Face Helmet",S,0.0000,
61841009,"Axor Rage Rash Dull/Matt White Lagoon Full Face Helmet",M,1.0000,
61841009,"Axor Rage Rash Dull/Matt White Lagoon Full Face Helmet",L,1.0000,
61841009,"Axor Rage Rash Dull/Matt White Lagoon Full Face Helmet",XL,0.0000,
63237008,"Axor Street Wacky Dull Black Orange Full Face Helmet",S,0.0000,
63237008,"Axor Street Wacky Dull Black Orange Full Face Helmet",M,-1.0000,
63237008,"Axor Street Wacky Dull Black Orange Full Face Helmet",L,1.0000,
63237008,"Axor Street Wacky Dull Black Orange Full Face Helmet",XL,0.0000,
64291512,"Axor Apex Grid Matt Black Red Full Face Helmet",,0.0000,
70402072,"Helmet Part Axor Apex Visor",,2.0000,
