"Product Code","Product Name",Variant,Expected,Counted
01254394,"Helmet Part Studds Shifter Nose Guard",,1.0000,
01701952,"Helmet Part Studds Shifter Visor Mechanism",,2.0000,
02215968,"Helmet Part Studds Ninja 3G/Scorpion Smoke Visor",,3.0000,
02914215,"Studds Ray Open Face Helmet",,1.0000,
04742839,"Studds Thunder Glossy Black Full Face Helmet",,0.0000,
05045665,"Studds Thunder D7 Matt Turquoise Grey Full Face Helmet (Free Visor + Spoiler)",,0.0000,
08610300,"Studds Thunder Plain Matt Black Full Face Helmet",,1.0000,
09226421,"Studds Urban Dame Open Face Helmet",,0.0000,
11169945,"Studds Thunder D5 Blue Full Face Helmet",,0.0000,
11276639,"Studds Thunder D4 Black Blue Full Face Helmet",,0.0000,
11490824,"Studds Thunder D1 Black Blue Full Face Helmet",,0.0000,
12321048,"Studds Ninja Concept Open Face Helmet",,0.0000,
12641718,"Helmet Part Studds Crest Smoke Visor",,2.0000,
13337938,"Studds Drifter Graphics Helmet",,6.0000,
138796586,"Studds Marshall Tricolour Open Face Helmet",,0.0000,
14156049,"Helmet Part Studds Thunder Clear Visor",,5.0000,
142460743,"Studds Chrome Eco Black Full Face Helmet",,0.0000,
14279033,"Studds Thunder D9 Black Red Full Face Helmet",,0.0000,
14386495,"Studds Thunder D9 Black Orange Full Face Helmet",,0.0000,
14697540,"Studds Shifter Black Neon Graphics Full Face Helmet",,2.0000,
15565264,"Studds Thunder D1 Black Red Full Face Helmet",,0.0000,
15992808,"Helmet Part Studds Thunder Yellow Visor",,5.0000,
16245102,"Studds Premium Vent Full Face Helmet",,0.0000,
166262239,"Studds Ninja 3G DV Black Full Face Helmet",,2.0000,
17468992,"Studds Thunder D5 Grey Full Face Helmet",,0.0000,
18462902,"Studds Thunder Plain Glossy Black Full Face Helmet",,1.0000,
19232019,"Studds Thunder D8 Black Neon Yellow Full Face Helmet",,0.0000,
21635646,"Studds Thunder Plain Gloss/Matt Black Full Face Helmet With Spoiler",,0.0000,
22046820,"Studds Ninja Elite Graphics Full Face Helmet",,0.0000,
238731633,"Studds Shifter Plain Full Face Helmet",,1.0000,
24126087,"Studds Thunder D6 Black Green Full Face Helmet",,0.0000,
24765848,"Helmet Part Studds Ninja Elite Visor Mechanism",,2.0000,
26153356,"Helmet Part Studds Thunder Spoiler",,6.0000,
26517059,"Helmet part Studds Ninja Full Face/Open Face Clear Visor",,2.0000,
26809923,"Studds Thunder D8 Matt Black Grey Full Face Helmet (Free Visor + Spoiler)",,0.0000,
28762104,"Studds Thunder D2 Graphics Full Face Helmet","Black Red",0.0000,
28762104,"Studds Thunder D2 Graphics Full Face Helmet","Black Blue",0.0000,
28762104,"Studds Thunder D2 Graphics Full Face Helmet","Black Orange",0.0000,
29151243,"Studds Drifter Plain Full Face Helmet","Gloss Black",1.0000,
29151243,"Studds Drifter Plain Full Face Helmet","Matt Black",0.0000,
29153970,"Studds Thunder D6 Black Red Full Face Helmet",,0.0000,
30201108,"Helmet Part Studds Shifter Top Air Vent Cap",,0.0000,
32656210,"Studds Thunder D3 Matt Black Neon Yellow Full Face Helmet",,0.0000,
32895823,"Studds Thunder Plain Red Full Face Helmet",,0.0000,
33044433,"Studds Thunder D6 Black Blue Full Face Helmet",,0.0000,
344162115,"Studds Jetstar Captain America Open Face Helmet",,0.0000,
34464705,"Helmet Part Studds Shifter Smoke Visor",,5.0000,
35607271,"Helmet Part Studds Professional Visor",,3.0000,
35813550,"Studds Shifter Neon Yellow Decor Full Face Helmet",,0.0000,
37005156,"Stuuds Thunder D10 Gloss Blue Graphics Helmet",,0.0000,
37976291,"Helmet Part Studds Dame Clear Visor",,6.0000,
40036577,"Helmet Part Studds Ninja 3G/Scorpion Clear Visor",,0.0000,
40304505,"Helmet Part Studds Premium Vent Visor",,0.0000,
40752178,"Helmet Part Studds Dude/Dame Visor Mechanism",,5.0000,
40777762,"Studds Thunder D9 Black Neon Full Face Helmet With Free Mirror Visor",,0.0000,
41268810,"Studds Trooper Graphics Flipup Helmet",,4.0000,
42937840,"Helmet Part Studds Urban Visor Mechanism",,1.0000,
43643522,"Studds Thunder Plain White Full Face Helmet",,0.0000,
45988261,"Studds Thunder D4 Black White Full Face Helmet",,0.0000,
46640118,"Studds Dame Open Face Helmet",,4.0000,
47308169,"Studds Chrome Graphics Full Face Helmet",,2.0000,
49524379,"Studds Thunder D5 Neon Yellow Full Face Helmet",,0.0000,
51526869,"Helmet Part Studds Shifter Visor Buttons",,0.0000,
52124682,"Studds Thunder D3 Matt Black White Red Full Face Helmet",,0.0000,
52216207,"Studds Thunder D7 Blue Full Face Helmet",,0.0000,
53445396,"Helmet Part Studds Ninja Elite Smoke/Tinted Visor",,3.0000,
55382106,"Studds Trooper Plain Black Flipup Helmet",,3.0000,
56072358,"Studds Thunder D7 Orange Full Face Helmet",,0.0000,
56196866,"Helmet Part Studds Shifter Spare Liner Top",L,0.0000,
56196866,"Helmet Part Studds Shifter Spare Liner Top",XL,1.0000,
56640793,"Studds Marshall Kids Open Face Helmet",,0.0000,
570280174,"Studds Shifter Blue Graphics Full Face Helmet",,0.0000,
57299190,"Studds Thunder D4 Black Neon Green Full Face Helmet",,4.0000,
58129328,"Studds Thunder D6 Black Orange Full Face Helmet",,0.0000,
58690695,"Helmet Part Studds Chrome Eco/Elite  Visor Mechanism",,0.0000,
59535456,"Studds Professional Graphics Full Face Helmet",,0.0000,
60652214,"Studds Thunder D3 Matt Black Grey Full Face Helmet",,0.0000,
61823739,"Studds Shifter Black Red Graphics Full Face Helmet",,3.0000,
62653913,"Studds Thunder D5 Red Full Face Helmet",,0.0000,
62811242,"Helmet Part Studds Chrome Eco/Chrome Elite Clear Visor",,2.0000,
62962159,"Helmet Part Studds Shifter Mirror Visor",,1.0000,
63097216,"Helmet Part Studds Jade/Premium Vent Screw",,0.0000,
63473858,"Studds Helmet Lock Flat Type",,3.0000,
64201234,"Studds Thunder D8 Black Grey Orange Full Face Helmet",,0.0000,
64293699,"Studds Ray Super Open Face Helmet",,0.0000,
64778470,"Helmet Part Studds Ninja 3G/Scorpion Mirror Visor",,1.0000,
65275853,"Helmet Part Studds Chrome Smoke Visor",,2.0000,
65537671,"Studds Vogue Open Face Helmet",,2.0000,
65590004,"Studds Urban Open Face Helmet",,0.0000,
66757406,"Studds Thunder Graphics Helmet With Communication + Battery",,1.0000,
70682766,"Helmet Part Studds Ninja Pastel Visor Mechanism",,1.0000,
72215924,"Studds Thunder D9 Black Neon Full Face Helmet",,0.0000,
73804364,"Studds Thunder D3 Gloss White Red Full Face Helmet",,0.0000,
74341930,"Studds Thunder D1 Yellow Full Face Helmet",,0.0000,
749295947,"Studds Jetstar Vintage Matt Black Long Visor Open Face Helmet",,0.0000,
76395527,"Helmet Part Studds Drifter Sun Visor Stopper",,0.0000,
76813843,"Studds Thunder D4 Black Orange Full Face Helmet",,0.0000,
79354952,"Helmet Part Studds Thunder Air Vent",,0.0000,
80423504,"Studds Thunder D8 Black Blue Full Face Helmet",,0.0000,
81500294,"Helmet Part Studds 3G/Scorpion Visor",Clear,0.0000,
81500294,"Helmet Part Studds 3G/Scorpion Visor",Mirror,2.0000,
816154631,"Studds Ninja Elite Plain Black Full Face Helmet",,0.0000,
82060084,"Helmet Part Studds Shifter Clear Visor",,2.0000,
82066482,"Helmet Part Studds Thunder Smoke Visor",,0.0000,
83536178,"Helmet Part Studds Thunder/Drifter Visor Mechanism",,4.0000,
83716578,"Studds Shifter Black White Grey Graphics  Full Face Helmet",,1.0000,
838839189,"Studds Ninja Elite Super Full Face Helmet",,0.0000,
84504647,"Net Skull Cap",,-2.0000,
874020781,"Studds Chrome Elite  BlackFull Face Helmet",,0.0000,
87608904,"Helmet Part Studds Ninja Elite Clear Visor",,5.0000,
93188230,"Helmets Part Studds Ninja Elite Jaw Mechanism",,0.0000,
93714452,"Studds Helmet Lock Round Type",,8.0000,
94610798,"Studds Thunder D10 Matt White Blue Full Face Helmet",,0.0000,
95454789,"Stuuds Thunder D10 Grey Graphics Helmet",,0.0000,
95549921,"Studds Thunder D4 Black Red Full Face Helmet",,2.0000,
96417851,"Helmet Part Studds Dude Clear Visor",,1.0000,
97723252,"Studds Thunder D1 Black White Full Face Helmet",,0.0000,
97750904,"Helmet part Studds Ninja Full Face/Open Face Mirror Visor",,0.0000,
98018428,"Helmet Part Studds Thunder Mirror Visor",,0.0000,
98416273,"Studds Thunder D8 Black Orange Full Face Helmet",,0.0000,
