"Product Code","Product Name",Variant,Expected,Counted
00073113,"Steelbird Robot Graphics Full Face Helmet",,1.0000,
00231248,"Steelbird Air Dashing Double Visor Helmet",,3.0000,
01658292,"Steelbird Adonis Dashing Black Full Face Helmet",,0.0000,
01701952,"Helmet Part Studds Shifter Visor Mechanism",,3.0000,
02215968,"Helmet Part Studds Ninja 3G/Scorpion Smoke Visor",,4.0000,
02914215,"Studds Ray Open Face Helmet",,0.0000,
03014057,"Vega Aster Open Face Helmet",,1.0000,
03105885,"Helmet Part Vega Boolean Visor Mechanism",,1.0000,
03619354,"Helmet Part Vega Offroad Clear Visor",,3.0000,
03918881,"Steelbird Open Face Helmet SB27 Matt Black",,0.0000,
04443090,"Helmet Part Vega Cliff Clear Visor",,4.0000,
04601203,"Steelbird Aeronotics SA2 Full Face Helmet Plain Matt Black",600mm,0.0000,
04601203,"Steelbird Aeronotics SA2 Full Face Helmet Plain Matt Black",580mm,0.0000,
04742839,"Studds Thunder Glossy Black Full Face Helmet",,-1.0000,
06111587,"Helmet Part Steelbird SB1 Visor Mechanism",,1.0000,
07230814,"Helmet Part Vega Boolean Clear Visor",,1.0000,
08531499,"Studds Riding Gloves SMG6",S,0.0000,
08531499,"Studds Riding Gloves SMG6",M,0.0000,
08531499,"Studds Riding Gloves SMG6",L,0.0000,
08531499,"Studds Riding Gloves SMG6",XL,0.0000,
08531499,"Studds Riding Gloves SMG6",2XL,0.0000,
08610300,"Studds Thunder Plain Matt Black Full Face Helmet",,0.0000,
08639441,"Helmet Part Vega Jet Bubble Visor",Clear,0.0000,
08639441,"Helmet Part Vega Jet Bubble Visor",Smoke,0.0000,
09258711,"Steelbird Aeronotics SA2 Full Face Helmet Metallic Gloss Black Red",600mm,0.0000,
09258711,"Steelbird Aeronotics SA2 Full Face Helmet Metallic Gloss Black Red",580mm,1.0000,
09445557,"Steelbird SBA2 Plain Black Full Face Helmet",,0.0000,
09731734,"Helmet Part Vega Lark Clear Visor",,2.0000,
11169945,"Studds Thunder D5 Blue Full Face Helmet",,0.0000,
11276639,"Studds Thunder D4 Black Blue Full Face Helmet",,0.0000,
11490824,"Studds Thunder D1 Black Blue Full Face Helmet",,0.0000,
11599130,"Steelbird Robot ICE Graphics Full Face Helmet",,0.0000,
117218268,"Steelbird SBA2 Dashing Full Face Helmet",,0.0000,
12002794,"Studds Top Box Fitment Rack",Himalayan,0.0000,
122815511,"Studds Vaultbox",,0.0000,
12321048,"Studds Ninja Concept Open Face Helmet",,1.0000,
12655749,"Helmet Part Vega Cliff  Mirror Visor",,1.0000,
13834320,"Vega Bolt Macho Full Face Helmet Black Grey Gloss",,0.0000,
138796586,"Studds Marshall Tricolour Open Face Helmet",,0.0000,
14156049,"Helmet Part Studds Thunder Clear Visor",,7.0000,
142460743,"Studds Chrome Eco Black Full Face Helmet",,0.0000,
14279033,"Studds Thunder D9 Black Red Full Face Helmet",,0.0000,
14697540,"Studds Shifter Black Orange Graphics Full Face Helmet",,0.0000,
15565264,"Studds Thunder D1 Black Red Full Face Helmet",,0.0000,
15866070,"Helmet Part Vega Bolt Visor Mirror",,3.0000,
16245102,"Studds Premium Vent Full Face Helmet",,0.0000,
166262239,"Studds Ninja 3G DV Black Full Face Helmet",,0.0000,
16854113,"Vega Bolt Full Face Helmet Bunny Black Red Gloss",,1.0000,
17468992,"Studds Thunder D5 Grey Full Face Helmet",,0.0000,
178476290,"Vega Crux Full Face Helmet",,4.0000,
18413484,"Steelbird Rox Double Visor Helmet",,3.0000,
18462902,"Studds Thunder Plain Glossy Black Full Face Helmet",,1.0000,
19232019,"Studds Thunder D8 Black Neon Yellow Full Face Helmet",,0.0000,
196940535,"Studds Professional Black with Black Strips Full Face Helmet",,0.0000,
20126010,"Studds Ninja 3G Eco Plain Full Face Helmet",,0.0000,
20527253,"Helmet Part Vega Verve Smoke Visor",,1.0000,
20538444,"Steelbird Air FlipUp Helmet (Single Visor)",,4.0000,
21708613,"Helmet Part Vega Lark Mirror Visor",,0.0000,
21767485,"Studds Urban Super Open Face Helmet",,0.0000,
22046820,"Studds Ninja Elite Graphics Full Face Helmet",,1.0000,
23288135,"Vega Helmet Skull Cap",,71.0000,
238731633,"Studds Shifter Plain Full Face Helmet",,0.0000,
24765848,"Helmet Part Studds Ninja Elite Visor Mechanism",,-1.0000,
26153356,"Helmet Part Studds Thunder Spoiler",,14.0000,
26476497,"Steelbird Air FlipUp Helmet (Double Visor)",,6.0000,
26517059,"Helmet part Studds Ninja Full Face/Open Face Clear Visor",,2.0000,
26622464,"Vega Breeze Full Face Helmet",,0.0000,
268130728,"Studds Biking Goggle",,0.0000,
27273556,"Steelbird SB17 Faceshield",,0.0000,
28087869,"Steelbird Air Dashing Full Face Helmet",,0.0000,
28762104,"Studds Thunder D2 Graphics Full Face Helmet","Black Red",0.0000,
28762104,"Studds Thunder D2 Graphics Full Face Helmet","Black Blue",0.0000,
29153970,"Studds Thunder D6 Black Red Full Face Helmet",,0.0000,
29848033,"Steelbird Rox Black Full Face Helmet",,0.0000,
29850476,"Studds Nano Open Face Helmet",,0.0000,
30096065,"Helmet Part MX9 Smoke Visor",,2.0000,
30201108,"Helmet Part Studds Shifter Top Air Vent Cap",,-2.0000,
30488040,"Vega Bolt Full Face Helmet Solid Gloss Black",,3.0000,
31422906,"Protective Goggles (Covid-19)",,0.0000,
31672826,"Steelbird Robot Plain Full Face Helmet",,1.0000,
