"Product Code","Product Name",Variant,Expected,Counted
02385823,"Vega Cable Lock",,0.0000,
03014057,"Vega Aster Open Face Helmet",,0.0000,
03105885,"Helmet Part Vega Boolean Visor Mechanism",,1.0000,
03387483,"Helmet Part Vega Edge Clear Visor",,3.0000,
03619354,"Helmet Part Vega Offroad Clear Visor",,1.0000,
04443090,"Helmet Part Vega Cliff Clear Visor",,6.0000,
05417395,"Vega Edge Graphics Full Face Helmet",,0.0000,
05497453,"Vega Aster DX Open Face Helmet",,0.0000,
07230814,"Helmet Part Vega Boolean Clear Visor",,0.0000,
08639441,"Helmet Part Vega Jet Bubble Visor",Clear,0.0000,
08639441,"Helmet Part Vega Jet Bubble Visor",Smoke,0.0000,
09731734,"Helmet Part Vega Lark Clear Visor",,1.0000,
12655749,"Helmet Part Vega Cliff  Mirror Visor",,1.0000,
13096368,"Vega Bolt Super Hero Graphics Helmet",,-1.0000,
13834320,"Vega Bolt Macho Full Face Helmet Black Grey Gloss",,0.0000,
16854113,"Vega Bolt Full Face Helmet Bunny Black Red",,2.0000,
178476290,"Vega Crux Full Face Helmet",,8.0000,
18486243,"Helmet Part Vega Aster Clear Visor",,3.0000,
20527253,"Helmet Part Vega Verve/Jet Smoke Visor",,0.0000,
21708613,"Helmet Part Vega Lark Mirror Visor",,0.0000,
25302226,"Vega Edge Full Face Helmet",,0.0000,
26622464,"Vega Breeze Full Face Helmet",,0.0000,
30488040,"Vega Bolt Full Face Helmet Solid Gloss Black",,1.0000,
31359782,"Vega Bolt Bunny Gloss Black Blue Helmet",,2.0000,
32027001,"Helmet Part Vega Evo/Ryker Clear Visor",,0.0000,
33799894,"Helmet Part Vega Jet Visor",Smoke,0.0000,
33799894,"Helmet Part Vega Jet Visor",Mirror,0.0000,
33799894,"Helmet Part Vega Jet Visor",Rainbow,0.0000,
34136816,"Helmet Part Vega Verve Visor Mechanism",,1.0000,
34400053,"Vega Bolt Crown Black Blue Full Face Helmet",,0.0000,
35893726,"Helmet Part Vega Lark Smoke Visor",,1.0000,
37846232,"Helmet Part Vega Offroad Visor Mechanism",,0.0000,
38257062,"Vega Ridge Open Face Helmet",,0.0000,
39053763,"Vega Buds Full Face Helmet",,1.0000,
42523504,"Vega Bolt Crown Black Red Full Face Helmet",,0.0000,
45432041,"Helmet Part Vega Cara Clear Visor",,0.0000,
46464126,"Helmet Part Vega Crux Mirror Visor",,2.0000,
47843749,"Vega Jet Open Face Helmet Plain",,0.0000,
50091316,"Vega Bolt Macho Full Face Helmet Black Grey Matt",,1.0000,
51012881,"Helmet Part Vega Breeze Clear Visor",,5.0000,
53753213,"Vega Lark Graphics Open Face Helmet",,3.0000,
54136116,"Helmet Part Vega Buds Visor Mechainsm",,2.0000,
55397526,"Helmet Part Vega Crux Clear Visor",,3.0000,
56700158,"Vega Bolt Rapid White Neon Yellow Full Face Helmet",,0.0000,
56867920,"Vega Bolt Game Changer Graphics Helmet",,0.0000,
576820478,"Vega Cliff Black Full Face Helmet",,3.0000,
58669556,"Helmet Part Vega Bolt Smoke/Tinted Visor",,0.0000,
58680385,"Vega Buds Open Face Helmet",,1.0000,
59243822,"Helmet Part Vega Verve/Jet Mirror Visor",,2.0000,
59846207,"Vega Atom Open Face Helmet",,4.0000,
61246244,"Helmet Part Vega Cliff Visor Mechanism with Screw",,3.0000,
62379296,"Helmet Part Vega Lark Visor Mechanism",,2.0000,
63614996,"Vega Breeze Graphics Helmet",,0.0000,
64637052,"Helmet Part Vega Buds Visor",Smoke,0.0000,
64637052,"Helmet Part Vega Buds Visor",Clear,4.0000,
64637052,"Helmet Part Vega Buds Visor",Mirror,0.0000,
64956235,"Vega Blaze Graphics Open Face Helmet",,0.0000,
65998087,"Helmet Part Vega Atom Visor Mechanism",,3.0000,
66654965,"Vega Lark Plain Open Face Helmet",,1.0000,
69774794,"Vega Bolt Full Face Helmet Bunny White Red",,0.0000,
70973143,"Helmet Part Vega Crux Smoke Visor",,1.0000,
72663753,"Vega Bolt Macho Full Face Helmet Matt Black Orange",,0.0000,
73874087,"Vega Crux DX Plain Full Face Helmet",,0.0000,
75756693,"Vega Bolt Full Face Helmet Bunny Black Blue Neon Yellow Matt",,0.0000,
75905446,"Helmet Part Vega Crux Visor Mechanism",,7.0000,
79172140,"Vega Bolt Full Face Helmet Bunny Black Blue Neon Yellow Gloss",,-1.0000,
79366250,"Vega Bolt Octopus Graphics Full Face Helmet",,0.0000,
79795293,"Vega Bolt Full Face Helmet Bunny GL Black Green",,1.0000,
80651635,"Vega Bolt Macho Full Face Helmet Matt Black Neon",,0.0000,
81061885,"Helmet Part Vega Verve/Jet Clear Visor",,1.0000,
81263386,"Vega Cruiser Peak Open Face Helmet",,0.0000,
83853694,"Vega Bolt Full Face Helmet Solid Matt Black",,1.0000,
84340631,"Helmet Part Vega Bolt Visor Mechanism",,1.0000,
84354815,"Vega Crux Graphics Full Face Helmet",,4.0000,
85579718,"Vega Cliff Graphics Full Face Helmet",,4.0000,
87190706,"Helmet Part Vega Cliff Visor Screw",,-26.0000,
87933328,"Vega Cliff DX Full Face Helmet",,1.0000,
88542765,"Helmet Part Vega Bolt Visor",Clear,3.0000,
88542765,"Helmet Part Vega Bolt Visor",Smoke,0.0000,
90175258,"Vega Bolt Bunny Full Face Helmet  Black Neon Yellow Gloss",,0.0000,
90592337,"Vega Crux DV Plain Full Face Helmet",,1.0000,
94976368,"Vega Offroad DV Graphics Full Face Helmet",,4.0000,
95080205,"Helmet Part Vega Cruiser Clear Visor",,1.0000,
96404422,"Helmet Part Vega Evo/Ryker Mirror Visor",,0.0000,
97339925,"Vega Bolt Southpaw Graphics Helmet",,2.0000,
98251327,"Vega Verve Open Face Helmet",,5.0000,
