"Product Code","Product Name",Variant,Expected,Counted
03713388,"MT Hummer Helmet Brave A5 Matt Red",S,0.0000,
03713388,"MT Hummer Helmet Brave A5 Matt Red",M,1.0000,
03713388,"MT Hummer Helmet Brave A5 Matt Red",L,1.0000,
03713388,"MT Hummer Helmet Brave A5 Matt Red",XL,0.0000,
09803440,"MT Hummer Helmet Brick Gloss Fluoro Yellow",S,0.0000,
09803440,"MT Hummer Helmet Brick Gloss Fluoro Yellow",M,0.0000,
09803440,"MT Hummer Helmet Brick Gloss Fluoro Yellow",L,0.0000,
09803440,"MT Hummer Helmet Brick Gloss Fluoro Yellow",XL,0.0000,
14051741,"MT Hummer Helmet Braap A3 Gloss Fluoro Yellow",S,0.0000,
14051741,"MT Hummer Helmet Braap A3 Gloss Fluoro Yellow",M,0.0000,
14051741,"MT Hummer Helmet Braap A3 Gloss Fluoro Yellow",L,0.0000,
14051741,"MT Hummer Helmet Braap A3 Gloss Fluoro Yellow",XL,0.0000,
14218043,"MT Hummer Helmet Brave A3 Matt Fluoro Yellow",S,0.0000,
14218043,"MT Hummer Helmet Brave A3 Matt Fluoro Yellow",M,0.0000,
14218043,"MT Hummer Helmet Brave A3 Matt Fluoro Yellow",L,0.0000,
14218043,"MT Hummer Helmet Brave A3 Matt Fluoro Yellow",XL,0.0000,
14338797,"MT Hummer Helmet Otaku C3 Gloss Fluoro Yellow",S,0.0000,
14338797,"MT Hummer Helmet Otaku C3 Gloss Fluoro Yellow",M,0.0000,
14338797,"MT Hummer Helmet Otaku C3 Gloss Fluoro Yellow",L,0.0000,
14338797,"MT Hummer Helmet Otaku C3 Gloss Fluoro Yellow",XL,0.0000,
14467080,"MT Hummer Helmet Otaku D7 Gloss Blue",S,0.0000,
14467080,"MT Hummer Helmet Otaku D7 Gloss Blue",M,0.0000,
14467080,"MT Hummer Helmet Otaku D7 Gloss Blue",L,0.0000,
14467080,"MT Hummer Helmet Otaku D7 Gloss Blue",XL,0.0000,
18951142,"MT Hummer Helmet Tubex Gloss Fluoro Yellow",S,0.0000,
18951142,"MT Hummer Helmet Tubex Gloss Fluoro Yellow",M,0.0000,
18951142,"MT Hummer Helmet Tubex Gloss Fluoro Yellow",L,0.0000,
18951142,"MT Hummer Helmet Tubex Gloss Fluoro Yellow",XL,0.0000,
20242038,"Helmet Part MT V14 Visor (Smoke)",,3.0000,
24006765,"Helmet Part MT Hummer V14 Visor (Mixed Iridium)",,1.0000,
26032451,"MT Hummer Mir Gloss Black Red Blue Helmet",S,0.0000,
26032451,"MT Hummer Mir Gloss Black Red Blue Helmet",M,0.0000,
26032451,"MT Hummer Mir Gloss Black Red Blue Helmet",L,0.0000,
26032451,"MT Hummer Mir Gloss Black Red Blue Helmet",XL,0.0000,
36393823,"MT Hummer Helmet Solid A1 Matt Black",S,0.0000,
36393823,"MT Hummer Helmet Solid A1 Matt Black",M,0.0000,
36393823,"MT Hummer Helmet Solid A1 Matt Black",L,0.0000,
36393823,"MT Hummer Helmet Solid A1 Matt Black",XL,0.0000,
40228454,"MT Hummer Mir Gloss Yellow White Black Helmet",S,0.0000,
40228454,"MT Hummer Mir Gloss Yellow White Black Helmet",M,0.0000,
40228454,"MT Hummer Mir Gloss Yellow White Black Helmet",L,1.0000,
40228454,"MT Hummer Mir Gloss Yellow White Black Helmet",XL,0.0000,
40340563,"Helmet Part MT V14 Visor (Clear)",,2.0000,
40378911,"MT Hummer Helmet Galant E2 Matt Grey",S,0.0000,
40378911,"MT Hummer Helmet Galant E2 Matt Grey",M,0.0000,
40378911,"MT Hummer Helmet Galant E2 Matt Grey",L,0.0000,
40378911,"MT Hummer Helmet Galant E2 Matt Grey",XL,0.0000,
42505526,"MT Hummer AXN Matt Fluoro Red Helmet",S,0.0000,
42505526,"MT Hummer AXN Matt Fluoro Red Helmet",M,0.0000,
42505526,"MT Hummer AXN Matt Fluoro Red Helmet",L,0.0000,
