"Product Code","Product Name",Variant,Expected,Counted
07173170,"Raida Rainpro Bike Cover Military Green 2XL",,0.0000,
07897251,"Raida Rainpro Bike Cover Green 3XL",,1.0000,
09659823,"Raida Seasonpro Bike Cover Black L",,2.0000,
10544329,"Raida Avantur Gloves Orange",S,0.0000,
10544329,"Raida Avantur Gloves Orange",M,0.0000,
10544329,"Raida Avantur Gloves Orange",L,0.0000,
10544329,"Raida Avantur Gloves Orange",XL,0.0000,
10544329,"Raida Avantur Gloves Orange",2XL,0.0000,
11634329,"Raida Rainpro Bike Cover Blue 2XL",,1.0000,
11661030,"Raida Hydration Bladder",,1.0000,
13604013,"Raida Rainpro Bike Cover Orange M",,0.0000,
15653797,"Raida AqDry Waterproof Riding Gloves Hi Viz",S,-1.0000,
15653797,"Raida AqDry Waterproof Riding Gloves Hi Viz",M,0.0000,
15653797,"Raida AqDry Waterproof Riding Gloves Hi Viz",L,0.0000,
15653797,"Raida AqDry Waterproof Riding Gloves Hi Viz",XL,0.0000,
15653797,"Raida AqDry Waterproof Riding Gloves Hi Viz",2XL,0.0000,
16419422,"Raida Rover Riding Pants",L,0.0000,
16419422,"Raida Rover Riding Pants",3XL,1.0000,
16419422,"Raida Rover Riding Pants",4XL,-1.0000,
20116546,"Raida UrbanR Motorcycle Boots Black",UK7,0.0000,
20116546,"Raida UrbanR Motorcycle Boots Black",UK8,1.0000,
20116546,"Raida UrbanR Motorcycle Boots Black",UK9,1.0000,
20116546,"Raida UrbanR Motorcycle Boots Black",UK10,1.0000,
20116546,"Raida UrbanR Motorcycle Boots Black",UK11,1.0000,
20145612,"Raida S100 Sunglasses","Icy Blue",0.0000,
20145612,"Raida S100 Sunglasses","Revo Red",0.0000,
20145612,"Raida S100 Sunglasses","Solid Orange",1.0000,
21704303,"Raida RainPro Bike Cover Blue L",,2.0000,
28071744,"Raida Drymax Rain Jacket Hi Viz Green",S,0.0000,
28071744,"Raida Drymax Rain Jacket Hi Viz Green",M,0.0000,
28071744,"Raida Drymax Rain Jacket Hi Viz Green",L,1.0000,
28071744,"Raida Drymax Rain Jacket Hi Viz Green",XL,0.0000,
28071744,"Raida Drymax Rain Jacket Hi Viz Green",2XL,0.0000,
28071744,"Raida Drymax Rain Jacket Hi Viz Green",3XL,0.0000,
31910831,"Raida Cruisepro Gloves (Red)",S,0.0000,
31910831,"Raida Cruisepro Gloves (Red)",M,0.0000,
