"Product Code","Product Name",Variant,Expected,Counted
18874645,"Rynox Grab Waterproof Tailbag",,0.0000,
18907254,"Rynox Expedition Saddlebags",,1.0000,
206175848,"Rynox Waistpack Aquapouch",,1.0000,
34196428,"Rynox Magnapod Tankbag",,2.0000,
453249837,"Rynox Saddlebags DryStack",,4.0000,
527264241,"Rynox Navigator Tankbag v3.0",,2.0000,
60321988,"Rynox Expedition Trail Bag V2",,3.0000,
608911447,"Rynox Tailbag Expedition Dry Bag 15 ltrs",,1.0000,
65438956,"Rynox Navigator Tailbag 50L",,0.0000,
81584125,"Rynox Navigator Tankbag 15L",,1.0000,
849122099,"Rynox Saddlebags Nomad v2.1 With Raincover",,1.0000,
96379476,"Rynox Optimus M Tankbag V2",,2.0000,
98359428,"Rynox Navigator Camera Insert Bag Black",,0.0000,
