"Product Code","Product Name",Variant,Expected,Counted
08998025,"Rynox Riding Pants Stealth Evo Black",S,0.0000,
08998025,"Rynox Riding Pants Stealth Evo Black",M,0.0000,
08998025,"Rynox Riding Pants Stealth Evo Black",L,0.0000,
08998025,"Rynox Riding Pants Stealth Evo Black",XL,0.0000,
08998025,"Rynox Riding Pants Stealth Evo Black",2XL,0.0000,
08998025,"Rynox Riding Pants Stealth Evo Black",3XL,0.0000,
16419422,"Raida Rover Riding Pants",L,0.0000,
16419422,"Raida Rover Riding Pants",3XL,1.0000,
16419422,"Raida Rover Riding Pants",4XL,-1.0000,
222280366,"Rynox Riding Pants Stealth Evo Grey",S,0.0000,
222280366,"Rynox Riding Pants Stealth Evo Grey",M,0.0000,
222280366,"Rynox Riding Pants Stealth Evo Grey",L,1.0000,
222280366,"Rynox Riding Pants Stealth Evo Grey",XL,0.0000,
222280366,"Rynox Riding Pants Stealth Evo Grey",2XL,0.0000,
222280366,"Rynox Riding Pants Stealth Evo Grey",3XL,0.0000,
32596360,"Rynox Riding Pants Storm Evo OffWhite",S,0.0000,
32596360,"Rynox Riding Pants Storm Evo OffWhite",M,0.0000,
32596360,"Rynox Riding Pants Storm Evo OffWhite",L,0.0000,
32596360,"Rynox Riding Pants Storm Evo OffWhite",XL,0.0000,
32596360,"Rynox Riding Pants Storm Evo OffWhite",2XL,0.0000,
58592865,"Rynox Storm Evo Noctex Riding Pants",S,0.0000,
58592865,"Rynox Storm Evo Noctex Riding Pants",M,0.0000,
58592865,"Rynox Storm Evo Noctex Riding Pants",L,0.0000,
58592865,"Rynox Storm Evo Noctex Riding Pants",XL,0.0000,
58592865,"Rynox Storm Evo Noctex Riding Pants",2XL,0.0000,
61300008,"Rynox Riding Pants Airtex",S,1.0000,
61300008,"Rynox Riding Pants Airtex",M,2.0000,
61300008,"Rynox Riding Pants Airtex",L,2.0000,
61300008,"Rynox Riding Pants Airtex",XL,1.0000,
61300008,"Rynox Riding Pants Airtex",2XL,1.0000,
61300008,"Rynox Riding Pants Airtex",3XL,0.0000,
61300008,"Rynox Riding Pants Airtex",4XL,1.0000,
74604788,"Rynox Riding Pants Storm Evo Grey",S,0.0000,
74604788,"Rynox Riding Pants Storm Evo Grey",M,0.0000,
74604788,"Rynox Riding Pants Storm Evo Grey",L,0.0000,
74604788,"Rynox Riding Pants Storm Evo Grey",XL,0.0000,
74604788,"Rynox Riding Pants Storm Evo Grey",2XL,0.0000,
837475052,"Rynox Riding Pants Advento",M,0.0000,
837475052,"Rynox Riding Pants Advento",L,1.0000,
837475052,"Rynox Riding Pants Advento",XL,0.0000,
837475052,"Rynox Riding Pants Advento",2XL,1.0000,
837475052,"Rynox Riding Pants Advento",3XL,1.0000,
95683006,"ViaTerra Spencer Riding Pants (Black)",XL,1.0000,
98711219,"Rynox H2Go Pro Rain Pants Black Hi Viz Green",S,0.0000,
98711219,"Rynox H2Go Pro Rain Pants Black Hi Viz Green",M,0.0000,
98711219,"Rynox H2Go Pro Rain Pants Black Hi Viz Green",L,1.0000,
98711219,"Rynox H2Go Pro Rain Pants Black Hi Viz Green",XL,-1.0000,
98711219,"Rynox H2Go Pro Rain Pants Black Hi Viz Green",2XL,0.0000,
98711219,"Rynox H2Go Pro Rain Pants Black Hi Viz Green",3XL,0.0000,
DSGRaceProPantBlk,"DSG Race Pro V2 Riding Pant Black",30,0.0000,
DSGRaceProPantBlk,"DSG Race Pro V2 Riding Pant Black",32,1.0000,
DSGRaceProPantBlk,"DSG Race Pro V2 Riding Pant Black",34,0.0000,
DSGRaceProPantBlk,"DSG Race Pro V2 Riding Pant Black",36,0.0000,
DSGRaceProPantBlk,"DSG Race Pro V2 Riding Pant Black",38,0.0000,
DSGRaceProPantBlk,"DSG Race Pro V2 Riding Pant Black",40,0.0000,
