"Product Code","Product Name",Variant,Expected,Counted
13405438,"Motowear Riding Jacket Black",S,0.0000,
13405438,"Motowear Riding Jacket Black",M,0.0000,
13405438,"Motowear Riding Jacket Black",L,0.0000,
13405438,"Motowear Riding Jacket Black",XL,2.0000,
13405438,"Motowear Riding Jacket Black",2XL,0.0000,
42761825,"Viaterra B100 Rain Pants",S,1.0000,
42761825,"Viaterra B100 Rain Pants",M,1.0000,
42761825,"Viaterra B100 Rain Pants",L,3.0000,
42761825,"Viaterra B100 Rain Pants",XL,3.0000,
42761825,"Viaterra B100 Rain Pants",2XL,2.0000,
42761825,"Viaterra B100 Rain Pants",3XL,0.0000,
50162485,"Viaterra B100 Rain Jacket",S,1.0000,
50162485,"Viaterra B100 Rain Jacket",M,-1.0000,
50162485,"Viaterra B100 Rain Jacket",L,0.0000,
50162485,"Viaterra B100 Rain Jacket",XL,0.0000,
50162485,"Viaterra B100 Rain Jacket",2XL,0.0000,
50162485,"Viaterra B100 Rain Jacket",3XL,0.0000,
66988082,"ViaTerra Spencer Riding Jacket (Black Fluoro Green)",S,0.0000,
66988082,"ViaTerra Spencer Riding Jacket (Black Fluoro Green)",M,0.0000,
66988082,"ViaTerra Spencer Riding Jacket (Black Fluoro Green)",L,0.0000,
66988082,"ViaTerra Spencer Riding Jacket (Black Fluoro Green)",XL,1.0000,
66988082,"ViaTerra Spencer Riding Jacket (Black Fluoro Green)",2XL,0.0000,
66988082,"ViaTerra Spencer Riding Jacket (Black Fluoro Green)",3XL,0.0000,
70126460,"ViaTerra Spencer Riding Jacket (Black Red)",S,0.0000,
70126460,"ViaTerra Spencer Riding Jacket (Black Red)",M,0.0000,
70126460,"ViaTerra Spencer Riding Jacket (Black Red)",L,1.0000,
70126460,"ViaTerra Spencer Riding Jacket (Black Red)",XL,0.0000,
70126460,"ViaTerra Spencer Riding Jacket (Black Red)",2XL,0.0000,
70126460,"ViaTerra Spencer Riding Jacket (Black Red)",3XL,0.0000,
78970783,"Motowear Riding Jacket Green",S,0.0000,
78970783,"Motowear Riding Jacket Green",M,0.0000,
78970783,"Motowear Riding Jacket Green",L,0.0000,
78970783,"Motowear Riding Jacket Green",XL,0.0000,
78970783,"Motowear Riding Jacket Green",2XL,1.0000,
DSGAirMeshJackBlkFlYlw,"DSG Aire Mesh Jacket Black Fluoro Yellow",S,0.0000,
DSGAirMeshJackBlkFlYlw,"DSG Aire Mesh Jacket Black Fluoro Yellow",M,1.0000,
DSGAirMeshJackBlkFlYlw,"DSG Aire Mesh Jacket Black Fluoro Yellow",L,0.0000,
DSGAirMeshJackBlkFlYlw,"DSG Aire Mesh Jacket Black Fluoro Yellow",XL,2.0000,
DSGAirMeshJackBlkFlYlw,"DSG Aire Mesh Jacket Black Fluoro Yellow",2XL,0.0000,
DSGAirMeshJackBlkFlYlw,"DSG Aire Mesh Jacket Black Fluoro Yellow",3XL,0.0000,
DSGRaceProJackBlkFlYel,"DSG Race Pro V2 Riding Jacket Black Fluoro Yellow",S,0.0000,
DSGRaceProJackBlkFlYel,"DSG Race Pro V2 Riding Jacket Black Fluoro Yellow",M,1.0000,
DSGRaceProJackBlkFlYel,"DSG Race Pro V2 Riding Jacket Black Fluoro Yellow",L,0.0000,
DSGRaceProJackBlkFlYel,"DSG Race Pro V2 Riding Jacket Black Fluoro Yellow",XL,0.0000,
