"Product Code","Product Name",Variant,Expected,Counted
03222284,"Rynox Gloves Inferno Pro",Small,0.0000,
03222284,"Rynox Gloves Inferno Pro",Medium,0.0000,
03222284,"Rynox Gloves Inferno Pro",Large,0.0000,
03222284,"Rynox Gloves Inferno Pro",XL,0.0000,
03222284,"Rynox Gloves Inferno Pro",2XL,0.0000,
05939110,"Rynox Urban Gloves Brown",S,0.0000,
05939110,"Rynox Urban Gloves Brown",M,1.0000,
05939110,"Rynox Urban Gloves Brown",L,2.0000,
05939110,"Rynox Urban Gloves Brown",XL,0.0000,
05939110,"Rynox Urban Gloves Brown",2XL,0.0000,
08375428,"Rynox Gloves Scout Black",S,0.0000,
08375428,"Rynox Gloves Scout Black",M,0.0000,
08375428,"Rynox Gloves Scout Black",L,0.0000,
08375428,"Rynox Gloves Scout Black",XL,0.0000,
08375428,"Rynox Gloves Scout Black",2XL,0.0000,
08753679,"Rynox Urban X Gloves",S,0.0000,
08753679,"Rynox Urban X Gloves",M,1.0000,
08753679,"Rynox Urban X Gloves",L,1.0000,
08753679,"Rynox Urban X Gloves",XL,1.0000,
08753679,"Rynox Urban X Gloves",2XL,1.0000,
08998025,"Rynox Riding Pants Stealth Evo Black",Small,-1.0000,
08998025,"Rynox Riding Pants Stealth Evo Black",Large,1.0000,
08998025,"Rynox Riding Pants Stealth Evo Black",XL,1.0000,
08998025,"Rynox Riding Pants Stealth Evo Black",3XL,0.0000,
09407751,"Rynox Riding Jacket Air GT V3.0 Black White",S,1.0000,
09407751,"Rynox Riding Jacket Air GT V3.0 Black White",M,1.0000,
09407751,"Rynox Riding Jacket Air GT V3.0 Black White",L,0.0000,
09407751,"Rynox Riding Jacket Air GT V3.0 Black White",XL,0.0000,
09407751,"Rynox Riding Jacket Air GT V3.0 Black White",2XL,1.0000,
09407751,"Rynox Riding Jacket Air GT V3.0 Black White",3XL,0.0000,
09407751,"Rynox Riding Jacket Air GT V3.0 Black White",4XL,1.0000,
09407751,"Rynox Riding Jacket Air GT V3.0 Black White",5XL,1.0000,
09755943,"Rynox Urban Gloves Black",S,1.0000,
09755943,"Rynox Urban Gloves Black",M,1.0000,
09755943,"Rynox Urban Gloves Black",L,1.0000,
09755943,"Rynox Urban Gloves Black",XL,0.0000,
09755943,"Rynox Urban Gloves Black",2XL,0.0000,
09797832,"Rynox Riding Jacket Tornado Pro Level 2 Black Grey",,0.0000,
09904267,"Rynox Ceros Chest Protector",,0.0000,
11601193,"Rynox Gripper Reflective Bungee Strap Black",,42.0000,
15696556,"Rynox Riding Jacket Stealth Evo V3 Grey",Small,0.0000,
15696556,"Rynox Riding Jacket Stealth Evo V3 Grey",Medium,1.0000,
15696556,"Rynox Riding Jacket Stealth Evo V3 Grey",Large,0.0000,
15696556,"Rynox Riding Jacket Stealth Evo V3 Grey",XL,0.0000,
15696556,"Rynox Riding Jacket Stealth Evo V3 Grey",2XL,1.0000,
15696556,"Rynox Riding Jacket Stealth Evo V3 Grey",3XL,1.0000,
16891806,"Rynox Powertechtor Knee/Elbow Hex Protector L2",,0.0000,
18907254,"Rynox Expedition Saddle Bag",,4.0000,
22611376,"Rynox Gloves Scout Brown",S,0.0000,
22611376,"Rynox Gloves Scout Brown",M,1.0000,
22611376,"Rynox Gloves Scout Brown",L,0.0000,
22611376,"Rynox Gloves Scout Brown",XL,0.0000,
22611376,"Rynox Gloves Scout Brown",2XL,1.0000,
24899275,"Rynox Tornado Pro Riding Jacket Version 3 Blue",S,0.0000,
24899275,"Rynox Tornado Pro Riding Jacket Version 3 Blue",M,0.0000,
24899275,"Rynox Tornado Pro Riding Jacket Version 3 Blue",L,0.0000,
24899275,"Rynox Tornado Pro Riding Jacket Version 3 Blue",XL,0.0000,
24899275,"Rynox Tornado Pro Riding Jacket Version 3 Blue",2XL,0.0000,
25933956,"Rynox Urban X Grey Riding Jacket",S,0.0000,
25933956,"Rynox Urban X Grey Riding Jacket",M,0.0000,
25933956,"Rynox Urban X Grey Riding Jacket",L,0.0000,
25933956,"Rynox Urban X Grey Riding Jacket",XL,1.0000,
25933956,"Rynox Urban X Grey Riding Jacket",2XL,0.0000,
25933956,"Rynox Urban X Grey Riding Jacket",3XL,0.0000,
26442339,"Rynox Riding Jacket Helium Red",L,0.0000,
26442339,"Rynox Riding Jacket Helium Red",XL,1.0000,
26442339,"Rynox Riding Jacket Helium Red",2XL,0.0000,
26442339,"Rynox Riding Jacket Helium Red",M,0.0000,
28608401,"Rynox Air GT Gloves Grey Hi-Viz Green",S,0.0000,
28608401,"Rynox Air GT Gloves Grey Hi-Viz Green",M,1.0000,
28608401,"Rynox Air GT Gloves Grey Hi-Viz Green",L,0.0000,
28608401,"Rynox Air GT Gloves Grey Hi-Viz Green",XL,1.0000,
28608401,"Rynox Air GT Gloves Grey Hi-Viz Green",2XL,1.0000,
31207428,"Rynox Riding Jacket Air GT V3.0  Grey Hi-Viz Green",S,0.0000,
31207428,"Rynox Riding Jacket Air GT V3.0  Grey Hi-Viz Green",M,1.0000,
31207428,"Rynox Riding Jacket Air GT V3.0  Grey Hi-Viz Green",L,0.0000,
31207428,"Rynox Riding Jacket Air GT V3.0  Grey Hi-Viz Green",XL,1.0000,
31207428,"Rynox Riding Jacket Air GT V3.0  Grey Hi-Viz Green",2XL,1.0000,
31246737,"Rynox Air GT Gloves Black",S,0.0000,
31246737,"Rynox Air GT Gloves Black",M,1.0000,
31246737,"Rynox Air GT Gloves Black",L,2.0000,
31246737,"Rynox Air GT Gloves Black",XL,2.0000,
31246737,"Rynox Air GT Gloves Black",2XL,1.0000,
32596360,"Rynox Riding Pants Storm Evo OffWhite",Small,0.0000,
32596360,"Rynox Riding Pants Storm Evo OffWhite",Medium,0.0000,
32596360,"Rynox Riding Pants Storm Evo OffWhite",Large,1.0000,
32596360,"Rynox Riding Pants Storm Evo OffWhite",XL,0.0000,
32596360,"Rynox Riding Pants Storm Evo OffWhite",2XL,0.0000,
