"Product Code","Product Name",Variant,Expected,Counted
04349666,"Rynox Tornado Pro Riding Jacket Version 4 Black Hi Viz Green",S,0.0000,
04349666,"Rynox Tornado Pro Riding Jacket Version 4 Black Hi Viz Green",M,1.0000,
04349666,"Rynox Tornado Pro Riding Jacket Version 4 Black Hi Viz Green",L,1.0000,
04349666,"Rynox Tornado Pro Riding Jacket Version 4 Black Hi Viz Green",XL,1.0000,
04349666,"Rynox Tornado Pro Riding Jacket Version 4 Black Hi Viz Green",2XL,1.0000,
08637233,"Rynox Air GT 4 Riding Jacket Black White",S,1.0000,
08637233,"Rynox Air GT 4 Riding Jacket Black White",M,3.0000,
08637233,"Rynox Air GT 4 Riding Jacket Black White",L,2.0000,
08637233,"Rynox Air GT 4 Riding Jacket Black White",XL,0.0000,
08637233,"Rynox Air GT 4 Riding Jacket Black White",2XL,2.0000,
08637233,"Rynox Air GT 4 Riding Jacket Black White",3XL,0.0000,
08637233,"Rynox Air GT 4 Riding Jacket Black White",4XL,1.0000,
08637233,"Rynox Air GT 4 Riding Jacket Black White",5XL,1.0000,
09407751,"Rynox Riding Jacket Air GT V3.0 Black White",S,0.0000,
09407751,"Rynox Riding Jacket Air GT V3.0 Black White",M,0.0000,
09407751,"Rynox Riding Jacket Air GT V3.0 Black White",L,0.0000,
09407751,"Rynox Riding Jacket Air GT V3.0 Black White",XL,0.0000,
09407751,"Rynox Riding Jacket Air GT V3.0 Black White",2XL,-1.0000,
09407751,"Rynox Riding Jacket Air GT V3.0 Black White",3XL,0.0000,
09407751,"Rynox Riding Jacket Air GT V3.0 Black White",4XL,1.0000,
09407751,"Rynox Riding Jacket Air GT V3.0 Black White",5XL,0.0000,
11581899,"Rynox Air GT 4 Riding Jacket Dark Grey Red",S,0.0000,
11581899,"Rynox Air GT 4 Riding Jacket Dark Grey Red",M,1.0000,
11581899,"Rynox Air GT 4 Riding Jacket Dark Grey Red",L,1.0000,
11581899,"Rynox Air GT 4 Riding Jacket Dark Grey Red",XL,-1.0000,
11581899,"Rynox Air GT 4 Riding Jacket Dark Grey Red",2XL,0.0000,
12536028,"Rynox Urban X Riding Jacket Camo Blue Black",S,0.0000,
12536028,"Rynox Urban X Riding Jacket Camo Blue Black",M,0.0000,
12536028,"Rynox Urban X Riding Jacket Camo Blue Black",L,1.0000,
12536028,"Rynox Urban X Riding Jacket Camo Blue Black",XL,0.0000,
12536028,"Rynox Urban X Riding Jacket Camo Blue Black",2XL,1.0000,
12536028,"Rynox Urban X Riding Jacket Camo Blue Black",3XL,0.0000,
15696556,"Rynox Riding Jacket Stealth Evo V3 Grey",S,0.0000,
15696556,"Rynox Riding Jacket Stealth Evo V3 Grey",M,0.0000,
15696556,"Rynox Riding Jacket Stealth Evo V3 Grey",L,0.0000,
15696556,"Rynox Riding Jacket Stealth Evo V3 Grey",XL,0.0000,
15696556,"Rynox Riding Jacket Stealth Evo V3 Grey",2XL,0.0000,
15696556,"Rynox Riding Jacket Stealth Evo V3 Grey",3XL,0.0000,
21366853,"Rynox Riding Jacket Stealth Evo V3 Black With Liners",S,0.0000,
21366853,"Rynox Riding Jacket Stealth Evo V3 Black With Liners",M,0.0000,
21366853,"Rynox Riding Jacket Stealth Evo V3 Black With Liners",L,0.0000,
21366853,"Rynox Riding Jacket Stealth Evo V3 Black With Liners",XL,0.0000,
21366853,"Rynox Riding Jacket Stealth Evo V3 Black With Liners",2XL,0.0000,
23093151,"Rynox Tornado Pro Riding Jacket Version 4 Black White",S,0.0000,
23093151,"Rynox Tornado Pro Riding Jacket Version 4 Black White",M,1.0000,
23093151,"Rynox Tornado Pro Riding Jacket Version 4 Black White",L,1.0000,
23093151,"Rynox Tornado Pro Riding Jacket Version 4 Black White",XL,1.0000,
23093151,"Rynox Tornado Pro Riding Jacket Version 4 Black White",2XL,0.0000,
23093151,"Rynox Tornado Pro Riding Jacket Version 4 Black White",3XL,0.0000,
23093151,"Rynox Tornado Pro Riding Jacket Version 4 Black White",4XL,0.0000,
23093151,"Rynox Tornado Pro Riding Jacket Version 4 Black White",5XL,0.0000,
24399191,"Rynox Cypher Riding Jacket Light Grey",S,0.0000,
24399191,"Rynox Cypher Riding Jacket Light Grey",M,0.0000,
24399191,"Rynox Cypher Riding Jacket Light Grey",L,0.0000,
24399191,"Rynox Cypher Riding Jacket Light Grey",XL,0.0000,
24399191,"Rynox Cypher Riding Jacket Light Grey",2XL,0.0000,
24399191,"Rynox Cypher Riding Jacket Light Grey",3XL,0.0000,
24520920,"Rynox Stealth Air Riding Jacket Black Red",S,0.0000,
24520920,"Rynox Stealth Air Riding Jacket Black Red",M,1.0000,
