"Product Code","Product Name",Variant,Expected,Counted
00073113,"Steelbird Robot Graphics Full Face Helmet",,0.0000,
00231248,"Steelbird Air Dashing Double Visor Helmet",,0.0000,
02385823,"Vega Cable Lock",,0.0000,
03014057,"Vega Aster Open Face Helmet",,2.0000,
03105885,"Helmet Part Vega Boolean Visor Mechanism",,1.0000,
03387483,"Helmet Part Vega Edge Clear Visor",,2.0000,
03421989,"Helmet Part Steelbird Robot Mirror Visor",,0.0000,
03619354,"Helmet Part Vega Offroad Clear Visor",,1.0000,
03918881,"Steelbird Open Face Helmet SB27 Matt Black",,0.0000,
04443090,"Helmet Part Vega Cliff Clear Visor",,2.0000,
04601203,"Steelbird Aeronotics SA2 Full Face Helmet Plain Matt Black",600mm,0.0000,
04601203,"Steelbird Aeronotics SA2 Full Face Helmet Plain Matt Black",580mm,0.0000,
05417395,"Vega Edge Graphics Full Face Helmet",,0.0000,
05497453,"Vega Aster DX Open Face Helmet",,0.0000,
06111587,"Helmet Part Steelbird SB1 Visor Mechanism",,1.0000,
06167882,"Steelbird SBH05 Open Face Helmet",,20.0000,
07230814,"Helmet Part Vega Boolean Clear Visor",,0.0000,
07497309,"Steelbird SB37 Zon Plus Dashing Full Face Helmet",,0.0000,
08639441,"Helmet Part Vega Jet Bubble Visor",Clear,0.0000,
08639441,"Helmet Part Vega Jet Bubble Visor",Smoke,0.0000,
09007270,"SBA21 Raptor Graphics Full Face Helmet",,0.0000,
09258711,"Steelbird Aeronotics SA2 Full Face Helmet Metallic Gloss Black Red",600mm,0.0000,
09258711,"Steelbird Aeronotics SA2 Full Face Helmet Metallic Gloss Black Red",580mm,0.0000,
09445557,"Steelbird SBA2 Plain Black Full Face Helmet",,0.0000,
09731734,"Helmet Part Vega Lark Clear Visor",,1.0000,
10827169,"Steelbird SBA1 Street Graphics Helmet with Smoke Visor",,6.0000,
11599130,"Steelbird Robot ICE Graphics Full Face Helmet",,13.0000,
117218268,"Steelbird SBA2 Dashing Full Face Helmet",,0.0000,
12166212,"Steelbird Aeronotics Graphics Fullface Helmet",,0.0000,
12655749,"Helmet Part Vega Cliff  Mirror Visor",,1.0000,
13096368,"Vega Bolt Super Hero Graphics Helmet",,0.0000,
13834320,"Vega Bolt Macho Full Face Helmet Black Grey Gloss",,0.0000,
15850381,"Helmet Part SBA7 Smoke Visor",,10.0000,
15866070,"Helmet Part Vega Bolt Visor Mirror",,5.0000,
16524530,"Steelbird Shoe Cover","UK7-UK8 (EU42-EU43)",0.0000,
16524530,"Steelbird Shoe Cover","UK9-UK10 (EU44-EU46)",1.0000,
