"Product Code","Product Name",Variant,Expected,Counted
00124630,"SMK Titan Full Face Helmet Slick Gloss Black Grey Blue GL265",S,0.0000,
00124630,"SMK Titan Full Face Helmet Slick Gloss Black Grey Blue GL265",M,0.0000,
00124630,"SMK Titan Full Face Helmet Slick Gloss Black Grey Blue GL265",L,0.0000,
00124630,"SMK Titan Full Face Helmet Slick Gloss Black Grey Blue GL265",XL,0.0000,
00124630,"SMK Titan Full Face Helmet Slick Gloss Black Grey Blue GL265",2XL,0.0000,
00616706,"SMK Typhoon Thorn Gloss Black Blue White Full Face Helmet GL251",S,0.0000,
00616706,"SMK Typhoon Thorn Gloss Black Blue White Full Face Helmet GL251",M,0.0000,
00616706,"SMK Typhoon Thorn Gloss Black Blue White Full Face Helmet GL251",L,0.0000,
00616706,"SMK Typhoon Thorn Gloss Black Blue White Full Face Helmet GL251",XL,0.0000,
01021201,"SMK Stellar Trek Black Fluoro Yellow GL243 Helmet",S,0.0000,
01021201,"SMK Stellar Trek Black Fluoro Yellow GL243 Helmet",M,0.0000,
01021201,"SMK Stellar Trek Black Fluoro Yellow GL243 Helmet",L,0.0000,
01021201,"SMK Stellar Trek Black Fluoro Yellow GL243 Helmet",XL,0.0000,
01021201,"SMK Stellar Trek Black Fluoro Yellow GL243 Helmet",2XL,0.0000,
01647914,"Helmet Part SMK Twister/Glide Visor Smoke Pinlock 30 Ready",,-1.0000,
01875805,"Helmet Part SMK Glide Spare Liner",S,2.0000,
01875805,"Helmet Part SMK Glide Spare Liner",M,0.0000,
01875805,"Helmet Part SMK Glide Spare Liner",L,0.0000,
01875805,"Helmet Part SMK Glide Spare Liner",XL,0.0000,
01875805,"Helmet Part SMK Glide Spare Liner",3XL,1.0000,
02809249,"SMK Typhoon Motorhead Matt Yellow MA476",S,0.0000,
02809249,"SMK Typhoon Motorhead Matt Yellow MA476",M,1.0000,
02809249,"SMK Typhoon Motorhead Matt Yellow MA476",L,0.0000,
02809249,"SMK Typhoon Motorhead Matt Yellow MA476",XL,0.0000,
02809249,"SMK Typhoon Motorhead Matt Yellow MA476",2XL,0.0000,
03224443,"SMK Twister Wraith White/Blue/Red Full Face Helmet GL153",S,0.0000,
03224443,"SMK Twister Wraith White/Blue/Red Full Face Helmet GL153",M,0.0000,
03224443,"SMK Twister Wraith White/Blue/Red Full Face Helmet GL153",L,0.0000,
03224443,"SMK Twister Wraith White/Blue/Red Full Face Helmet GL153",XL,0.0000,
04723129,"Helmet Part SMK Twister Spare Liner",S,1.0000,
04723129,"Helmet Part SMK Twister Spare Liner",M,2.0000,
04723129,"Helmet Part SMK Twister Spare Liner",L,-3.0000,
04723129,"Helmet Part SMK Twister Spare Liner",XL,3.0000,
04723129,"Helmet Part SMK Twister Spare Liner",2XL,0.0000,
04727439,"SMK Stellar Samurai GL253 Gloss Black Grey Red Blue Full Face Helmet",S,0.0000,
04727439,"SMK Stellar Samurai GL253 Gloss Black Grey Red Blue Full Face Helmet",M,0.0000,
04727439,"SMK Stellar Samurai GL253 Gloss Black Grey Red Blue Full Face Helmet",L,0.0000,
04727439,"SMK Stellar Samurai GL253 Gloss Black Grey Red Blue Full Face Helmet",XL,0.0000,
05764017,"Helmet Part SMK Stellar Spoiler","Gloss Black",-1.0000,
05764017,"Helmet Part SMK Stellar Spoiler","Fluoro Yellow",0.0000,
05764017,"Helmet Part SMK Stellar Spoiler","Gloss Grey",0.0000,
05764017,"Helmet Part SMK Stellar Spoiler","Matt Black",0.0000,
05764017,"Helmet Part SMK Stellar Spoiler","Matt Grey",0.0000,
05764017,"Helmet Part SMK Stellar Spoiler","Gloss White",0.0000,
06857632,"SMK Stellar Full Face Helmet Meteorite Gloss Black Grey Green GL286",S,0.0000,
06857632,"SMK Stellar Full Face Helmet Meteorite Gloss Black Grey Green GL286",L,0.0000,
06961692,"SMK Typhoon Helmet RD1 Gloss Black Green Orange GL287",S,0.0000,
06961692,"SMK Typhoon Helmet RD1 Gloss Black Green Orange GL287",M,0.0000,
06961692,"SMK Typhoon Helmet RD1 Gloss Black Green Orange GL287",L,0.0000,
06961692,"SMK Typhoon Helmet RD1 Gloss Black Green Orange GL287",XL,0.0000,
07616991,"SMK Retro Full Face helmet Ranko  Gloss Blue Orange Yellow  GL574",S,0.0000,
07616991,"SMK Retro Full Face helmet Ranko  Gloss Blue Orange Yellow  GL574",M,1.0000,
07616991,"SMK Retro Full Face helmet Ranko  Gloss Blue Orange Yellow  GL574",L,1.0000,
07616991,"SMK Retro Full Face helmet Ranko  Gloss Blue Orange Yellow  GL574",XL,0.0000,
07984661,"SMK Typhoon RD1 Matt Black Grey Yellow Helmet MA264",S,0.0000,
07984661,"SMK Typhoon RD1 Matt Black Grey Yellow Helmet MA264",M,1.0000,
07984661,"SMK Typhoon RD1 Matt Black Grey Yellow Helmet MA264",L,0.0000,
07984661,"SMK Typhoon RD1 Matt Black Grey Yellow Helmet MA264",XL,1.0000,
07984661,"SMK Typhoon RD1 Matt Black Grey Yellow Helmet MA264",2XL,0.0000,
