"Product Code","Product Name",Variant,Expected,Counted
01701952,"Helmet Part Studds Shifter Visor Mechanism",,3.0000,
02215968,"Helmet Part Studds Ninja 3G/Scorpion Smoke Visor",,4.0000,
02914215,"Studds Ray Open Face Helmet",,0.0000,
04742839,"Studds Thunder Glossy Black Full Face Helmet",,-1.0000,
08531499,"Studds Riding Gloves SMG6",S,0.0000,
08531499,"Studds Riding Gloves SMG6",M,0.0000,
08531499,"Studds Riding Gloves SMG6",L,0.0000,
08531499,"Studds Riding Gloves SMG6",XL,0.0000,
08531499,"Studds Riding Gloves SMG6",2XL,0.0000,
08610300,"Studds Thunder Plain Matt Black Full Face Helmet",,0.0000,
11169945,"Studds Thunder D5 Blue Full Face Helmet",,0.0000,
11276639,"Studds Thunder D4 Black Blue Full Face Helmet",,0.0000,
11490824,"Studds Thunder D1 Black Blue Full Face Helmet",,0.0000,
12002794,"Studds Top Box Fitment Rack",Himalayan,0.0000,
122815511,"Studds Vaultbox",,0.0000,
12321048,"Studds Ninja Concept Open Face Helmet",,1.0000,
138796586,"Studds Marshall Tricolour Open Face Helmet",,0.0000,
14156049,"Helmet Part Studds Thunder Clear Visor",,7.0000,
142460743,"Studds Chrome Eco Black Full Face Helmet",,0.0000,
14279033,"Studds Thunder D9 Black Red Full Face Helmet",,0.0000,
14697540,"Studds Shifter Black Orange Graphics Full Face Helmet",,0.0000,
15565264,"Studds Thunder D1 Black Red Full Face Helmet",,0.0000,
16245102,"Studds Premium Vent Full Face Helmet",,0.0000,
166262239,"Studds Ninja 3G DV Black Full Face Helmet",,0.0000,
17468992,"Studds Thunder D5 Grey Full Face Helmet",,0.0000,
18462902,"Studds Thunder Plain Glossy Black Full Face Helmet",,1.0000,
19232019,"Studds Thunder D8 Black Neon Yellow Full Face Helmet",,0.0000,
196940535,"Studds Professional Black with Black Strips Full Face Helmet",,0.0000,
20126010,"Studds Ninja 3G Eco Plain Full Face Helmet",,0.0000,
21767485,"Studds Urban Super Open Face Helmet",,0.0000,
22046820,"Studds Ninja Elite Graphics Full Face Helmet",,1.0000,
238731633,"Studds Shifter Plain Full Face Helmet",,0.0000,
24765848,"Helmet Part Studds Ninja Elite Visor Mechanism",,-1.0000,
26153356,"Helmet Part Studds Thunder Spoiler",,14.0000,
26517059,"Helmet part Studds Ninja Full Face/Open Face Clear Visor",,2.0000,
268130728,"Studds Biking Goggle",,0.0000,
28762104,"Studds Thunder D2 Graphics Full Face Helmet","Black Red",0.0000,
28762104,"Studds Thunder D2 Graphics Full Face Helmet","Black Blue",0.0000,
29153970,"Studds Thunder D6 Black Red Full Face Helmet",,0.0000,
29850476,"Studds Nano Open Face Helmet",,0.0000,
30201108,"Helmet Part Studds Shifter Top Air Vent Cap",,-2.0000,
31422906,"Protective Goggles (Covid-19)",,0.0000,
32895823,"Studds Thunder Plain Red Full Face Helmet",,0.0000,
33044433,"Studds Thunder D6 Black Blue Full Face Helmet",,-1.0000,
343725608,"Studds Scorpion Plain Matt Black Full Face Helmet",,0.0000,
344162115,"Studds Jetstar Captain America Open Face Helmet",,0.0000,
34464705,"Helmet Part Studds Shifter Smoke Visor",,2.0000,
35813550,"Studds Shifter Neon Yellow Decor Full Face Helmet",,0.0000,
365828927,"Studds Ninja 2G Matt Black Full Face Helmet",,0.0000,
37690786,"Studds Marshall Plain White Open Face Helmet",,0.0000,
37976291,"Helmet Part Studds Dame Clear Visor",,3.0000,
38512025,"Studds Thunder D3 Black Red 93 Full Face Helmet",,1.0000,
38855586,"Studds Thunder D3 Black Orange 93 Full Face Helmet",,2.0000,
40036577,"Helmet Part Studds Ninja 3G/Scorpion Clear Visor",,4.0000,
40304505,"Helmet Part Studds Premium Vent Visor",,0.0000,
40752178,"Helmet Part Studds Dude/Dame Visor Mechanism",,5.0000,
40777762,"Studds Thunder D9 Black Neon Full Face Helmet With Free Mirror Visor",,0.0000,
41807983,"Studds Chrome Elite Black Full Face Helmet Small 540",,0.0000,
42666031,"Studds Thunder D3 White Red 93 Full Face Helmet",,0.0000,
42937840,"Helmet Part Studds Urban Visor Mechanism",,1.0000,
43643522,"Studds Thunder Plain White Full Face Helmet",,0.0000,
45484804,"Studds Crest Full Face Helmet",,2.0000,
45988261,"Studds Thunder D4 Black White Full Face Helmet",,-1.0000,
47308169,"Studds Chrome Graphics Full Face Helmet",,1.0000,
47552727,"Protective Face Shield (Covid-19)",,0.0000,
480099979,"Studds Downtown Silver Grey D3N2 Open Face Helmet",,0.0000,
49524379,"Studds Thunder D5 Yellow Full Face Helmet",,0.0000,
50733738,"Studds Scorpion Graphics Matt Blue Full Face Helmet",,0.0000,
51526869,"Helmet Part Studds Shifter Visor Buttons",,-1.0000,
52216207,"Studds Thunder D7 Blue Full Face Helmet",,1.0000,
550295404,"Studds Marshall Plain Cherry Red Open Face Helmet",,0.0000,
56072358,"Studds Thunder D7 Orange Full Face Helmet",,0.0000,
56196866,"Helmet Part Studds Shifter Spare Liner Top",L,0.0000,
56196866,"Helmet Part Studds Shifter Spare Liner Top",XL,1.0000,
56640793,"Studds Marshall Kids Open Face Helmet",,2.0000,
570280174,"Studds Shifter Blue Graphics Full Face Helmet",,0.0000,
57299190,"Studds Thunder D4 Black Neon Green Full Face Helmet",,1.0000,
58129328,"Studds Thunder D6 Black Orange Full Face Helmet",,0.0000,
581960985,"Studds Downtown Open Face Helmet",,0.0000,
58690695,"Helmet Part Studds Chrome Eco/Elite  Visor Mechanism",,2.0000,
58823888,"Studds Thunder D3 Black Blue 93 Full Face Helmet",,0.0000,
61823739,"Studds Shifter Black Red Graphics Full Face Helmet",,0.0000,
62653913,"Studds Thunder D5 Red Full Face Helmet",,2.0000,
62811242,"Helmet Part Studds Chrome Eco/Chrome Elite Clear Visor",,3.0000,
62962159,"Helmet Part Studds Shifter Mirror Visor",,2.0000,
63473858,"Studds Helmet Lock Flat Type",,3.0000,
64201234,"Studds Thunder D8 Black Grey Orange Full Face Helmet",,0.0000,
64778470,"Helmet Part Studds Ninja 3G/Scorpion Mirror Visor",,1.0000,
65590004,"Studds Urban Open Face Helmet",,0.0000,
70682766,"Helmet Part Studds Ninja Pastel Visor Mechanism",,1.0000,
72215924,"Studds Thunder D9 Black Neon Full Face Helmet",,0.0000,
73512974,"Studds SMG1 Half Riding Gloves",S,0.0000,
73512974,"Studds SMG1 Half Riding Gloves",M,0.0000,
73512974,"Studds SMG1 Half Riding Gloves",L,0.0000,
73512974,"Studds SMG1 Half Riding Gloves",XL,0.0000,
74341930,"Studds Thunder D1 Yellow Full Face Helmet",,0.0000,
749295947,"Studds Jetstar Vintage Matt Black Long Visor Open Face Helmet",,0.0000,
75819471,"Studds Dude Open Face Helmet",,0.0000,
764045643,"Studds FEMM 540 Open Face Helmet",,0.0000,
76813843,"Studds Thunder D4 Black Orange Full Face Helmet",,1.0000,
781546266,"Studds Cub Plain Matt Black Open Face Helmet",,0.0000,
793014553,"Studds Scorpion Gun Grey Full Face Helmet",,0.0000,
80423504,"Studds Thunder D8 Black Blue Full Face Helmet",,2.0000,
80460180,"Studds Icon Open Face Helmet",,1.0000,
806852125,"Studds Helmet Backpack",,2.0000,
81500294,"Helmet Part Studds 3G/Scorpion Visor",Clear,2.0000,
81500294,"Helmet Part Studds 3G/Scorpion Visor",Mirror,4.0000,
816154631,"Studds Ninja Elite Plain Black Full Face Helmet",,1.0000,
82060084,"Helmet Part Studds Shifter Clear Visor",,4.0000,
82066482,"Helmet Part Studds Thunder Smoke Visor",,1.0000,
83716578,"Studds Shifter Black White Grey Graphics  Full Face Helmet",,0.0000,
838839189,"Studds Ninja Elite Super Full Face Helmet",,0.0000,
874020781,"Studds Chrome Elite  BlackFull Face Helmet",,0.0000,
87608904,"Helmet Part Studds Ninja Elite Clear Visor",,3.0000,
895639917,"Studds Top Box",,1.0000,
91569521,"Studds Riding Gloves SMG2",M,0.0000,
91569521,"Studds Riding Gloves SMG2",L,2.0000,
91569521,"Studds Riding Gloves SMG2",XL,1.0000,
91569521,"Studds Riding Gloves SMG2",2XL,0.0000,
93714452,"Studds Helmet Lock Round Type",,8.0000,
95549921,"Studds Thunder D4 Black Red Full Face Helmet",,0.0000,
96417851,"Helmet Part Studds Dude Clear Visor",,4.0000,
97723252,"Studds Thunder D1 Black White Full Face Helmet",,0.0000,
97750904,"Helmet part Studds Ninja Full Face/Open Face Mirror Visor",,0.0000,
98018428,"Helmet Part Studds Thunder Mirror Visor",,6.0000,
98416273,"Studds Thunder D8 Black Orange Full Face Helmet",,0.0000,
qeqefrqef,"Studds Downtown Full Face Helmet Plain",,0.0000,
