"Product Code","Product Name",Variant,Expected,Counted
01453092,"LCB Suzuki VStorm Rage Saddlestay",,0.0000,
05068503,"LCB Suzuki VStorm Crashguards",,0.0000,
10209792,"Two Way Switch",,28.0000,
21253664,"JB Racing 35L LED Top Box",,0.0000,
39037633,"Yamaha MT15 Trident Crashguards",,0.0000,
40452415,"JB Racing Topbox J32 32L",,0.0000,
42269597,"JB Racing Top Box J45 45L",,2.0000,
46394813,"BMWG310GS Front Fender Black",,2.0000,
47126551,"Grip Puppies",,11.0000,
50617104,"Protaper Gear Shoe Cover Shift Sock",,32.0000,
57494967,"JB Racing Metal Plastic Alloy Top Box 45L",,1.0000,
64890822,"Rainproof Antifog Insert for Helmet",,8.0000,
66762652,"JB Racing Micro Fiber Cloth",,13.0000,
85037865,"HJG 4 LED Premium Fog Light with Yellow Cap + Premium Switch",,0.0000,
89857133,"JB Racing Topbox TC35L without LED",,0.0000,
90312678,"Legundary Customs Suzuki V Storm Crash Guard",,0.0000,
94432039,"JB Racing Meter Display Guard BMWG310GS/G310R",,0.0000,
BMWG310CGMS,"BMW G310GS Crash Guards MS",Upper,0.0000,
BMWG310CGMS,"BMW G310GS Crash Guards MS",Lower,0.0000,
BMWG310GSCGSS,"BMW G310GS Crash Guards SS",Upper,0.0000,
BMWG310GSCGSS,"BMW G310GS Crash Guards SS",Lower,0.0000,
BMWG310GSRADIATR,"BMW G310GS Radiator Grill",,0.0000,
BMWG310GSRaisr,"BMW G310GS Handlebar Raiser",Black,3.0000,
BMWG310GSRaisr,"BMW G310GS Handlebar Raiser",Silver,-1.0000,
BMWG310GSTyreHug,"BMW G310GS Tyre Hugger",,0.0000,
BMWG310GS_Footrest,"BMW G310GS Antislip Footrest",,0.0000,
BMW_G310GS_BashPlate,"BMW G310GS Bash Plate",,0.0000,
CGProtClip,"Legundary Crashguard Protection Clip",,0.0000,
HJGSPMH,"HJG Shockproof Mobile Holder",,5.0000,
HONDACB350CG,"Legundary Customs Honda CB350RS/Hness Crash Guards",,1.0000,
KTMADV390BR,"Legundary Customs KTM Adventure 390 Back Rest",,0.0000,
KTMADV390CG,"JB Racing KTM Adventure 390 Crash Guards",,1.0000,
KTMADV390HG,"KTM Adventure 390 Headlight Guard",,0.0000,
KTMADV390SS,"JB Racing KTM Adventure 390 Saddle Stay",,0.0000,
KTMADV390_HandleBar_Raisers,"KTM Adventure 390 Handle Bar Raisers",,0.0000,
KTMADV390_TopRackPlate,"KTM Adevnture 390 Top Rack Plate",,0.0000,
REHCG,"Royal Enfield Himalayan Crash Guards with JB Slider",,0.0000,
REHSS,"Legundary Customs Royal Enfield Himalayan Aragorn Saddle Stay",,0.0000,
