"Product Code","Product Name",Variant,Expected,Counted
05068503,"LCB Suzuki VStorm Crashguards",,1.0000,
39037633,"Yamaha MT15 Trident Crashguards",,0.0000,
BMWG310CGMS,"BMW G310GS Crash Guards MS",Upper,1.0000,
BMWG310CGMS,"BMW G310GS Crash Guards MS",Lower,0.0000,
BMWG310GSCGSS,"BMW G310GS Crash Guards SS",Upper,1.0000,
BMWG310GSTyreHug,"BMW G310GS Tyre Hugger",,2.0000,
CGProtClip,"Legundary Crashguard Protection Clip",,1.0000,
KTMADV390CG,"JB Racing KTM Adventure 390 Crash Guards",,2.0000,
KTMADV390SS,"JB Racing KTM Adventure 390 Saddle Stay",,2.0000,
REHCG,"Royal Enfield Himalayan Crash Guards with JB Slider",,1.0000,
