name,code,barcode_symbology,brand,category_code,unit,sale_unit,purchase_unit,cost,price,alert_quantity,tax_rate,tax_method,image,subcategory_code,variants,mrp,hsn_code,warehouse,quantity
SMK Glide Unicolour Matt Black Full Face Helmet MA200,,code128,,HA1,pcs,pcs,pcs,0,5500,,18%GST,Inclusive,,,,5500,,Ware house 1-1,0
SMK Glide Unicolour White Full Face Helmet GL100,,code128,,HA1,pcs,pcs,pcs,0,5500,,18%GST,Inclusive,,,,5500,,Ware house 1-1,0
SMK Glide Unicolour Hi Vision Full Face Helmet HV400,,code128,,HA1,pcs,pcs,pcs,0,5500,,18%GST,Inclusive,,,,5500,,Ware house 1-1,0
SMK Glide Sign Full Face Helmet,,code128,,HA1,pcs,pcs,pcs,0,5800,,18%GST,Inclusive,,,,5800,,Ware house 1-1,0
SMK Glide Flash Vision Full Face Helmet HV420,,code128,,HA1,pcs,pcs,pcs,0,5800,,18%GST,Inclusive,,,,5800,,Ware house 1-1,0
SMK Force Steel Seventy White Red Full Face Helmet STGL123,,code128,,HA1,pcs,pcs,pcs,0,5100,,18%GST,Inclusive,,,,5100,,Ware house 1-1,0
SMK Force Steel Seventy White Black Full Face Helmet STGL216,,code128,,HA1,pcs,pcs,pcs,0,5100,,18%GST,Inclusive,,,,5100,,Ware house 1-1,0
SMK Force Steel Unicolour White Full Face Helmet STGL100,,code128,,HA1,pcs,pcs,pcs,0,4800,,18%GST,Inclusive,,,,4800,,Ware house 1-1,0
SMK Force Eagle Matt Black Red Full Face Helmet MA235,,code128,,HA1,pcs,pcs,pcs,0,4900,,18%GST,Inclusive,,,,4900,,Ware house 1-1,0
SMK Force Eagle Matt Black Grey Full Face Helmet MA261,,code128,,HA1,pcs,pcs,pcs,0,4900,,18%GST,Inclusive,,,,4900,,Ware house 1-1,0
SMK Force Boost Red Full Face Helmet GL213,,code128,,HA1,pcs,pcs,pcs,0,5100,,18%GST,Inclusive,,,,5100,,Ware house 1-1,0
SMK Force Boost Blue Full Face Helmet GL215,,code128,,HA1,pcs,pcs,pcs,0,5100,,18%GST,Inclusive,,,,5100,,Ware house 1-1,0
