"Product Code","Product Name",Variant,Expected,Counted
00073113,"Steelbird Robot Graphics Full Face Helmet",,0.0000,
00231248,"Steelbird Air Dashing Double Visor Helmet",,0.0000,
03421989,"Helmet Part Steelbird Robot Mirror Visor",,0.0000,
03603748,"Steelbird SBA20 Plain DV Flip Up Helmet",,0.0000,
03918881,"Steelbird Open Face Helmet SB27 Matt Black",,0.0000,
04601203,"Steelbird Aeronotics SA2 Full Face Helmet Plain Matt Black",600mm,0.0000,
04601203,"Steelbird Aeronotics SA2 Full Face Helmet Plain Matt Black",580mm,0.0000,
06111587,"Helmet Part Steelbird SB1 Visor Mechanism",,1.0000,
06167882,"Steelbird SBH05 Open Face Helmet",,7.0000,
07497309,"Steelbird SB37 Zon Plus Dashing Full Face Helmet",,0.0000,
09007270,"SBA21 Raptor Graphics Full Face Helmet",,0.0000,
09258711,"Steelbird Aeronotics SA2 Full Face Helmet Metallic Gloss Black Red",600mm,0.0000,
09258711,"Steelbird Aeronotics SA2 Full Face Helmet Metallic Gloss Black Red",580mm,0.0000,
09445557,"Steelbird SBA2 Plain Black Full Face Helmet",,0.0000,
10827169,"Steelbird SBA1 Street Graphics Helmet with Smoke Visor",,3.0000,
11599130,"Steelbird Robot ICE Graphics Full Face Helmet",,5.0000,
117218268,"Steelbird SBA2 Dashing Full Face Helmet",,0.0000,
12166212,"Steelbird Aeronotics Graphics Fullface Helmet",,0.0000,
15850381,"Helmet Part SBA7 Smoke Visor",,10.0000,
16851770,"Steelbird SBA1 Racer Graphics Helmet",,3.0000,
17200470,"Steelbird Rox Matt Black Double Visor Helmet",,0.0000,
17340072,"Steelbird SBH24 AXE Gloss Open Face Helmet",,10.0000,
18413484,"Steelbird Rox Dashing Double Visor Helmet",,15.0000,
20538444,"Steelbird Air SBA7 Dashing Black FlipUp Helmet (Single Visor)",,0.0000,
23520439,"Steelbird SBA8 Plain FlipUp Helmet With Double Visor",Gloss,6.0000,
23520439,"Steelbird SBA8 Plain FlipUp Helmet With Double Visor",Matt,-2.0000,
26476497,"Steelbird Air SBA7 Dashing Black FlipUp Helmet (Double Visor)",,0.0000,
28087869,"Steelbird Air Dashing Full Face Helmet",,0.0000,
28472069,"Steelbird DRX DV Dashing Open Face Helmet",,9.0000,
31672826,"Steelbird Robot Plain Full Face Helmet",,0.0000,
31932702,"Helmet Part Steelbird Robot Clear Visor",,0.0000,
32512340,"Steelbird Wiz Dashing Full Face Helmet",,0.0000,
32722737,"Steelbird Air Dashing Black HF Full Face Helmet with Handsfree",,0.0000,
