"Product Code","Product Name",Variant,Expected,Counted
05236428,"Rynox Storm Evo 3 Gloves Black Hi Viz Green",S,0.0000,
05236428,"Rynox Storm Evo 3 Gloves Black Hi Viz Green",M,1.0000,
05236428,"Rynox Storm Evo 3 Gloves Black Hi Viz Green",L,0.0000,
05236428,"Rynox Storm Evo 3 Gloves Black Hi Viz Green",XL,0.0000,
05236428,"Rynox Storm Evo 3 Gloves Black Hi Viz Green",2XL,0.0000,
05939110,"Rynox Urban Gloves Brown",S,0.0000,
05939110,"Rynox Urban Gloves Brown",M,0.0000,
05939110,"Rynox Urban Gloves Brown",L,0.0000,
05939110,"Rynox Urban Gloves Brown",XL,0.0000,
05939110,"Rynox Urban Gloves Brown",2XL,0.0000,
06923785,"Rynox Helium GT Gloves Black Hi Viz Green",S,0.0000,
06923785,"Rynox Helium GT Gloves Black Hi Viz Green",M,0.0000,
06923785,"Rynox Helium GT Gloves Black Hi Viz Green",L,0.0000,
06923785,"Rynox Helium GT Gloves Black Hi Viz Green",XL,0.0000,
06923785,"Rynox Helium GT Gloves Black Hi Viz Green",2XL,0.0000,
08753679,"Rynox Urban X Gloves",S,0.0000,
08753679,"Rynox Urban X Gloves",M,1.0000,
08753679,"Rynox Urban X Gloves",L,0.0000,
08753679,"Rynox Urban X Gloves",XL,0.0000,
08753679,"Rynox Urban X Gloves",2XL,0.0000,
09755943,"Rynox Urban Gloves Black",S,1.0000,
09755943,"Rynox Urban Gloves Black",M,0.0000,
09755943,"Rynox Urban Gloves Black",L,0.0000,
09755943,"Rynox Urban Gloves Black",XL,0.0000,
09755943,"Rynox Urban Gloves Black",2XL,0.0000,
12956939,"Rynox Urban Pro Gloves Suede Brown",S,1.0000,
12956939,"Rynox Urban Pro Gloves Suede Brown",M,1.0000,
12956939,"Rynox Urban Pro Gloves Suede Brown",L,1.0000,
12956939,"Rynox Urban Pro Gloves Suede Brown",XL,1.0000,
12956939,"Rynox Urban Pro Gloves Suede Brown",2XL,0.0000,
14727187,"Rynox Storm Evo Gloves Hi Viz Green",S,0.0000,
14727187,"Rynox Storm Evo Gloves Hi Viz Green",M,0.0000,
14727187,"Rynox Storm Evo Gloves Hi Viz Green",L,0.0000,
14727187,"Rynox Storm Evo Gloves Hi Viz Green",XL,0.0000,
14727187,"Rynox Storm Evo Gloves Hi Viz Green",2XL,0.0000,
24944423,"Rynox Storm Evo Gloves Brown",S,0.0000,
24944423,"Rynox Storm Evo Gloves Brown",M,0.0000,
24944423,"Rynox Storm Evo Gloves Brown",L,0.0000,
24944423,"Rynox Storm Evo Gloves Brown",XL,0.0000,
24944423,"Rynox Storm Evo Gloves Brown",2XL,1.0000,
26227658,"Rynox Helium GT Gloves Black Grey",S,0.0000,
26227658,"Rynox Helium GT Gloves Black Grey",M,0.0000,
26227658,"Rynox Helium GT Gloves Black Grey",L,0.0000,
26227658,"Rynox Helium GT Gloves Black Grey",XL,0.0000,
26227658,"Rynox Helium GT Gloves Black Grey",2XL,0.0000,
28608401,"Rynox Air GT Gloves Grey Hi-Viz Green",S,0.0000,
28608401,"Rynox Air GT Gloves Grey Hi-Viz Green",M,1.0000,
28608401,"Rynox Air GT Gloves Grey Hi-Viz Green",L,-1.0000,
28608401,"Rynox Air GT Gloves Grey Hi-Viz Green",XL,1.0000,
28608401,"Rynox Air GT Gloves Grey Hi-Viz Green",2XL,0.0000,
30575557,"Rynox Helium GT Gloves Black Red",S,0.0000,
30575557,"Rynox Helium GT Gloves Black Red",M,0.0000,
30575557,"Rynox Helium GT Gloves Black Red",L,0.0000,
30575557,"Rynox Helium GT Gloves Black Red",XL,1.0000,
30575557,"Rynox Helium GT Gloves Black Red",2XL,0.0000,
31246737,"Rynox Air GT Gloves Black White",S,0.0000,
31246737,"Rynox Air GT Gloves Black White",M,-1.0000,
31246737,"Rynox Air GT Gloves Black White",L,0.0000,
31246737,"Rynox Air GT Gloves Black White",XL,0.0000,
31246737,"Rynox Air GT Gloves Black White",2XL,3.0000,
41239595,"Rynox Dry Ice Gloves",S,1.0000,
41239595,"Rynox Dry Ice Gloves",M,1.0000,
41239595,"Rynox Dry Ice Gloves",L,1.0000,
41239595,"Rynox Dry Ice Gloves",XL,2.0000,
41239595,"Rynox Dry Ice Gloves",2XL,0.0000,
54057630,"Rynox Gravel Gloves Black Grey",S,0.0000,
54057630,"Rynox Gravel Gloves Black Grey",M,0.0000,
54057630,"Rynox Gravel Gloves Black Grey",L,0.0000,
54057630,"Rynox Gravel Gloves Black Grey",XL,0.0000,
54057630,"Rynox Gravel Gloves Black Grey",2XL,0.0000,
54057630,"Rynox Gravel Gloves Black Grey",3XL,0.0000,
57277755,"Rynox Urban Gloves Copper",S,1.0000,
57277755,"Rynox Urban Gloves Copper",M,1.0000,
57277755,"Rynox Urban Gloves Copper",L,0.0000,
57277755,"Rynox Urban Gloves Copper",XL,0.0000,
57277755,"Rynox Urban Gloves Copper",2XL,0.0000,
64927799,"Rynox Air GT Gloves Black White 2022",S,0.0000,
64927799,"Rynox Air GT Gloves Black White 2022",M,2.0000,
64927799,"Rynox Air GT Gloves Black White 2022",L,-1.0000,
64927799,"Rynox Air GT Gloves Black White 2022",XL,2.0000,
64927799,"Rynox Air GT Gloves Black White 2022",2XL,1.0000,
68167431,"Rynox Air GT Gloves Grey Red",S,0.0000,
68167431,"Rynox Air GT Gloves Grey Red",M,0.0000,
68167431,"Rynox Air GT Gloves Grey Red",L,0.0000,
68167431,"Rynox Air GT Gloves Grey Red",XL,1.0000,
68167431,"Rynox Air GT Gloves Grey Red",2XL,0.0000,
71555803,"Rynox Storm Evo Gloves Black",S,0.0000,
71555803,"Rynox Storm Evo Gloves Black",M,0.0000,
71555803,"Rynox Storm Evo Gloves Black",L,0.0000,
71555803,"Rynox Storm Evo Gloves Black",XL,0.0000,
71555803,"Rynox Storm Evo Gloves Black",2XL,0.0000,
82584486,"Rynox Tornado Pro 3 Gloves Black Blue",S,0.0000,
82584486,"Rynox Tornado Pro 3 Gloves Black Blue",M,0.0000,
82584486,"Rynox Tornado Pro 3 Gloves Black Blue",L,0.0000,
82584486,"Rynox Tornado Pro 3 Gloves Black Blue",XL,0.0000,
82584486,"Rynox Tornado Pro 3 Gloves Black Blue",2XL,0.0000,
82870065,"Rynox Urban Pro Gloves Suede Black",S,0.0000,
82870065,"Rynox Urban Pro Gloves Suede Black",M,0.0000,
82870065,"Rynox Urban Pro Gloves Suede Black",L,1.0000,
82870065,"Rynox Urban Pro Gloves Suede Black",XL,1.0000,
82870065,"Rynox Urban Pro Gloves Suede Black",2XL,0.0000,
88404221,"Rynox Gravel Gloves Blue Neon",S,0.0000,
88404221,"Rynox Gravel Gloves Blue Neon",M,0.0000,
88404221,"Rynox Gravel Gloves Blue Neon",L,0.0000,
88404221,"Rynox Gravel Gloves Blue Neon",XL,0.0000,
88404221,"Rynox Gravel Gloves Blue Neon",2XL,0.0000,
88404221,"Rynox Gravel Gloves Blue Neon",3XL,0.0000,
90596130,"Rynox Storm Evo 3 Gloves Black Red",S,0.0000,
90596130,"Rynox Storm Evo 3 Gloves Black Red",M,0.0000,
90596130,"Rynox Storm Evo 3 Gloves Black Red",L,1.0000,
90596130,"Rynox Storm Evo 3 Gloves Black Red",XL,0.0000,
90596130,"Rynox Storm Evo 3 Gloves Black Red",2XL,0.0000,
90632585,"Rynox Tornado Pro 3 Gloves Black Orange",S,0.0000,
90632585,"Rynox Tornado Pro 3 Gloves Black Orange",M,1.0000,
90632585,"Rynox Tornado Pro 3 Gloves Black Orange",L,1.0000,
90632585,"Rynox Tornado Pro 3 Gloves Black Orange",XL,0.0000,
90632585,"Rynox Tornado Pro 3 Gloves Black Orange",2XL,0.0000,
92020771,"Rynox Gravel Gloves Navy Blue Orange",S,0.0000,
92020771,"Rynox Gravel Gloves Navy Blue Orange",M,0.0000,
92020771,"Rynox Gravel Gloves Navy Blue Orange",L,0.0000,
92020771,"Rynox Gravel Gloves Navy Blue Orange",XL,1.0000,
92020771,"Rynox Gravel Gloves Navy Blue Orange",2XL,0.0000,
92020771,"Rynox Gravel Gloves Navy Blue Orange",3XL,0.0000,
96292144,"Rynox Tornado Pro 3 Gloves Black Red",S,0.0000,
96292144,"Rynox Tornado Pro 3 Gloves Black Red",M,2.0000,
96292144,"Rynox Tornado Pro 3 Gloves Black Red",L,1.0000,
96292144,"Rynox Tornado Pro 3 Gloves Black Red",XL,0.0000,
96292144,"Rynox Tornado Pro 3 Gloves Black Red",2XL,0.0000,
99477347,"Rynox Tornado Pro 3 Gloves Black Hi-Viz Green",S,-1.0000,
